loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.00718435,3,0.0138130187988,0.0049253,0.0,307169,0.82128,954.04,954.04,95.1651,1040,241.54806351661682
-0.00860277,2,0.313596487045,0.0042656,0.0,308294,0.806421,951.29,951.29,36.7013,1042,243.14095735549927
-0.00546305,3,0.562551140785,0.00834895,0.0,310592,0.810401,944.27,944.27,45.1284,1045,244.7490270137787
-0.00614303,2,-0.00367343425751,0.0075135,0.0,312592,0.804927,944.27,944.27,69.5577,1047,246.36028409004211
-0.00508544,2,0.0112838149071,0.00420502,0.0,314592,0.815363,944.99,944.99,67.4347,1049,247.96111869812012
-0.00425306,4,0.510091692209,0.0151791,0.0,317099,0.82099,930.06,930.06,76.3889,1053,249.55491280555725
-0.00733067,2,-0.00353062152863,0.00761897,0.0,319099,0.841065,930.06,930.06,68.2159,1055,251.16481804847717
-0.00593747,2,0.00562858581543,0.00870807,0.0,321099,0.852743,930.06,930.06,68.4251,1057,252.76551270484924
-0.00296101,2,0.00438284873962,0.00559157,0.0,323099,0.868211,933.06,933.06,68.0074,1059,254.35925841331482
-0.00704984,2,0.00269198417664,0.0102498,0.0,325099,0.901487,933.06,933.06,68.0596,1061,255.9686291217804
-0.00656024,2,0.0158697366714,0.00770251,0.0,327099,0.909264,933.06,933.06,64.6704,1063,257.57799911499023
-0.00735189,2,0.00966334342957,0.0130442,0.0,329099,0.914639,933.06,933.06,66.8735,1065,259.17174553871155
-0.0108935,3,0.688465565443,0.0109338,0.0,331483,0.922926,926.9,926.9,47.1243,1068,260.7654893398285
-0.00597929,2,-0.0109932422638,0.00968889,0.0,333483,0.922932,926.9,926.9,70.9238,1070,262.3592345714569
-0.00865386,2,-0.00587892532349,0.00608251,0.0,335483,0.926394,926.9,926.9,70.4329,1072,263.9686028957367
-0.00718672,2,-0.00184631347656,0.0098645,0.0,337483,0.945263,926.9,926.9,70.1606,1074,265.57797622680664
-0.00703534,2,-0.00037157535553,0.00631716,0.0,339483,0.92175,926.9,926.9,69.5933,1076,267.1873445510864
-0.00736757,2,-0.000487804412842,0.00820801,0.0,341483,0.944878,926.9,926.9,69.2483,1078,268.7848381996155
-0.00481611,2,-0.00203382968903,0.00488456,0.0,343483,0.952524,926.9,926.9,69.3943,1080,270.4108645915985
-0.00496401,2,-0.0026251077652,0.00814302,0.0,345483,0.959143,926.9,926.9,69.2609,1082,272.0171580314636
-0.00545008,2,-0.000941157341003,0.010465,0.0,347483,0.961686,926.9,926.9,69.1587,1084,273.62127208709717
-0.0083838,2,-0.000606060028076,0.00921502,0.0,349483,0.930502,926.9,926.9,68.9698,1086,275.2186872959137
-0.00683355,2,-0.000173568725586,0.0101041,0.0,351483,0.937038,926.9,926.9,68.892,1088,276.8176829814911
-0.0093051,2,-0.00273954868317,0.0115694,0.0,353483,0.933113,926.9,926.9,68.8112,1090,278.42921900749207
-0.00681491,2,-0.000591158866882,0.00682187,0.0,355483,0.932758,926.9,926.9,68.799,1092,280.03157472610474
-0.0102967,2,0.000811636447906,0.00757248,0.0,357483,0.910402,931.9,931.9,65.315,1094,281.6410279273987
-0.00418717,2,0.0948178172112,0.00549243,0.0,359483,0.931321,941.05,941.05,61.7157,1096,283.2426130771637
-0.00731495,3,0.0539228320122,0.00595646,0.0,362483,0.931753,950.37,950.37,97.2739,1099,284.84756112098694
-0.00667274,2,0.0230227708817,0.00673899,0.0,364483,0.939615,950.37,950.37,64.9501,1101,286.4494345188141
-0.00817557,2,0.02786642313,0.00595318,0.0,366483,0.92588,950.37,950.37,65.588,1103,288.06246399879456
-0.00715126,2,0.0624760985374,0.00475262,0.0,368483,0.923271,950.37,950.37,56.2851,1105,289.6562101840973
-0.00323445,2,-0.034196972847,0.01975,0.0,370483,0.901623,950.37,950.37,42.6743,1107,291.2655794620514
-0.00749821,2,-0.0589592456818,0.00742217,0.0,372483,0.891341,950.37,950.37,71.0373,1109,292.9062006473541
-0.00473902,2,-0.00477910041809,0.00605094,0.0,374483,0.889422,953.75,953.75,69.7961,1111,294.49994468688965
-0.00729107,2,0.0139375925064,0.00397283,0.0,376483,0.887024,953.75,953.75,65.2835,1113,296.10931730270386
-0.00747374,2,-0.0297868251801,0.00822866,0.0,378483,0.886441,953.75,953.75,69.744,1115,297.7030596733093
-0.00493537,2,0.0250567793846,0.00766448,0.0,380483,0.890841,953.75,953.75,63.299,1117,299.3202106952667
-0.00864741,2,-0.0162265300751,0.0055354,0.0,382483,0.872984,953.75,953.75,69.3076,1119,300.91467690467834
