EpRewMean,EpThisIter,ev_tdlam_before,loss_pol_entpen,loss_kl,TimeElapsed,TimestepsSoFar,EpLenMean,loss_vf_loss,loss_pol_surr,EpisodesSoFar,loss_ent
6873.54039698,2,-0.00256609916687,0.0,0.0369778,357.88093972206116,417202,738.34,5851.26,0.00159535,4805,-0.555752
6944.22570987,2,-0.0584481954575,0.0,0.0623117,359.62905621528625,419202,745.91,5859.27,0.00146271,4807,-0.550061
6938.31370848,3,0.165754199028,0.0,0.0342934,361.3736746311188,421653,745.25,7950.66,-0.0137891,4810,-0.559523
6938.43595258,2,0.00597476959229,0.0,0.0157467,363.1231429576874,423653,745.25,5408.35,-0.00446613,4812,-0.552568
6943.54362679,3,0.173713922501,0.0,0.0115066,364.85661578178406,425894,745.78,7906.01,-0.011344,4815,-0.540456
6958.08224879,2,0.327111423016,0.0,0.015059,366.6155676841736,427769,747.33,4693.54,-0.00966789,4817,-0.538393
6950.91608558,2,0.373659729958,0.0,0.0115519,368.35017466545105,429326,746.55,3347.46,-0.00868173,4819,-0.544605
6922.01445758,4,0.515378385782,0.0,0.0287464,370.116153717041,431660,743.41,7243.51,-0.00840193,4823,-0.54128
6922.23064529,2,-0.0815229415894,0.0,0.017352,371.8497896194458,433660,743.41,5765.34,-0.0045303,4825,-0.542874
6922.4104501,2,0.183066725731,0.0,0.0169131,373.6146445274353,435660,743.41,3736.63,-0.00943978,4827,-0.523114
6922.56111386,2,-0.055370926857,0.0,0.0205832,375.35828471183777,437660,743.41,4565.77,-0.0109175,4829,-0.503187
6952.82392195,2,-0.359916567802,0.0,0.0632408,377.10856652259827,439660,746.64,6399.5,0.00136681,4831,-0.490366
6953.01179682,2,-0.0307122468948,0.0,0.0183648,378.8503108024597,441660,746.64,5848.53,-0.0056364,4833,-0.479704
6907.37950805,3,0.301803469658,0.0,0.0265752,380.58223271369934,444168,741.72,6496.44,-0.00735399,4836,-0.473631
