loss_pol_surr,TimeElapsed,EpRewMean,loss_vf_loss,loss_ent,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,EpThisIter,EpLenMean
-0.0366157,374.02326488494873,3097.16577541,824.823,4.76665,371852,0.0314661,1624,0.0,0.47998636961,2,706.67
-0.0427361,376.05464005470276,3131.10083521,1061.28,4.73489,373852,0.0374591,1626,0.0,0.416204512119,2,713.49
-0.0377059,378.11500906944275,3150.04215684,1156.36,4.73062,375852,0.0317956,1628,0.0,0.480426073074,2,718.72
-0.0496295,380.1952781677246,3162.56922445,784.941,4.75167,378787,0.0290427,1631,0.0,0.701608687639,3,722.54
-0.0448883,382.2697925567627,3161.11153545,1032.9,4.70752,380787,0.0381163,1633,0.0,0.440402805805,2,722.79
-0.060057,384.35063767433167,3155.1775028,264.337,4.70255,382592,0.0286776,1636,0.0,0.897411033511,3,722.15
-0.0405096,386.4059326648712,3199.11546939,1562.95,4.69436,384592,0.0344238,1638,0.0,0.429392039776,2,731.28
-0.0367443,388.4460482597351,3229.46617735,719.135,4.70485,386280,0.0277532,1640,0.0,0.725736379623,2,737.41
-0.0293912,390.49233174324036,3254.62590898,1464.26,4.69097,388280,0.0248663,1642,0.0,0.559092134237,2,742.94
-0.0464582,392.5310859680176,3237.19367071,965.927,4.69968,390474,0.0246318,1645,0.0,0.692270815372,3,740.35
-0.0405384,394.5811975002289,3298.28125126,1384.95,4.64673,392474,0.0391751,1647,0.0,0.401317834854,2,752.77
-0.0490276,396.61722207069397,3318.18217437,983.108,4.6427,394801,0.0275306,1650,0.0,0.667178630829,3,757.77
-0.0490462,398.64885926246643,3348.04533371,1297.22,4.64308,397037,0.0270152,1653,0.0,0.639213562012,3,764.11
-0.0436823,400.67991852760315,3380.92100336,1638.16,4.67149,399037,0.0243981,1655,0.0,0.344981253147,2,770.98
-0.0423293,402.74216389656067,3402.67725856,1215.62,4.64352,401037,0.0201065,1657,0.0,0.518806964159,2,776.58
-0.0446026,404.80352330207825,3393.99917493,769.373,4.63861,402696,0.0255952,1659,0.0,0.657813668251,2,776.01
-0.04053,406.8444287776947,3438.48161326,1562.99,4.62,405364,0.0255207,1662,0.0,0.688600569963,3,785.07
-0.0427842,408.8903856277466,3484.06958311,1538.69,4.62089,407364,0.0314602,1664,0.0,0.402824521065,2,794.5
-0.0409635,410.9296090602875,3486.80133122,869.656,4.64055,408993,0.0295394,1666,0.0,0.720421671867,2,795.63
-0.0584314,412.9609091281891,3471.98385631,278.054,4.61462,411336,0.0296314,1669,0.0,0.867987930775,3,793.22
-0.0607138,415.00682282447815,3468.29019966,186.22,4.63707,413195,0.0218647,1673,0.0,0.91265694797,4,793.31
-0.0490009,417.05467200279236,3474.66316446,833.513,4.56306,415700,0.0276196,1676,0.0,0.676923543215,3,794.55
-0.0491698,419.1003496646881,3510.18145671,144.471,4.52599,417723,0.0273222,1679,0.0,0.881748728454,3,801.61
-0.0634037,421.1509132385254,3503.95118147,127.06,4.50543,419227,0.0243222,1682,0.0,0.952035721391,3,800.19
-0.063309,423.187842130661,3504.4829108,207.83,4.47276,421760,0.0257391,1685,0.0,0.937187217176,3,800.01
-0.0430174,425.2369463443756,3555.09890594,409.359,4.44413,423589,0.0263672,1687,0.0,0.720020800829,2,809.9
-0.0607411,427.27202463150024,3552.43137877,472.367,4.44567,425476,0.0338667,1690,0.0,0.864136904478,3,809.3
-0.0649528,429.32063269615173,3529.04186202,389.617,4.42069,427300,0.032629,1694,0.0,0.888920336962,4,805.05
-0.0474582,431.35975909233093,3565.17751461,1599.9,4.38297,429731,0.0353638,1697,0.0,0.605687469244,3,812.5
-0.0378976,433.39088320732117,3601.48754838,777.346,4.38141,431370,0.034725,1699,0.0,0.761807352304,2,820.22
-0.0373147,435.4409427642822,3605.10823524,1463.96,4.36785,433370,0.0194965,1701,0.0,0.468660056591,2,820.22
-0.0507417,437.4753386974335,3614.07090031,182.487,4.3757,436017,0.0292549,1704,0.0,0.787270769477,3,821.41
-0.0589361,439.507737159729,3607.05594109,260.958,4.31933,437575,0.034939,1706,0.0,0.897565975785,2,819.12
-0.0468993,441.5604157447815,3633.64152886,974.946,4.32073,440087,0.0344207,1709,0.0,0.845718622208,3,824.54
-0.0591174,443.59374475479126,3614.03251426,304.927,4.28849,441975,0.0290311,1712,0.0,0.903032787144,3,819.94
-0.0519888,445.65612626075745,3576.27677915,209.452,4.27167,444044,0.0321737,1715,0.0,0.908698059618,3,811.92
-0.0608251,447.6875479221344,3533.89941256,132.652,4.24663,446051,0.0252499,1718,0.0,0.932943694293,3,801.99
-0.0488101,449.73389744758606,3494.38822882,1011.15,4.21088,448194,0.0353129,1721,0.0,0.809287518263,3,793.42
-0.0589161,451.778427362442,3416.97815645,232.148,4.18585,450463,0.0337716,1725,0.0,0.895400740206,4,776.11
-0.0571869,453.8278181552887,3413.66291756,123.429,4.15325,452254,0.0344721,1727,0.0,0.940281163901,2,774.02
-0.0381291,455.85884833335876,3402.83497443,346.452,4.19474,453847,0.0245596,1729,0.0,0.841692641377,2,769.95
-0.0552482,457.90664649009705,3383.96360916,185.704,4.14779,456227,0.0317134,1732,0.0,0.919761963189,3,764.4
-0.0447986,459.9408257007599,3385.06294748,1051.81,4.12797,458741,0.0309338,1735,0.0,0.822156354785,3,763.84
-0.0606106,461.9920959472656,3362.59820654,98.1716,4.11331,460392,0.0349152,1738,0.0,0.953062444925,3,758.0
