TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpRewMean,loss_ent,EpisodesSoFar,TimeElapsed,loss_kl,EpThisIter,loss_pol_entpen,EpLenMean,loss_vf_loss
329000,0.0431051850319,-0.0337114,1140.21911604,1.24774,329,287.59827637672424,0.0305046,2,0.0,1000.0,108.178
331000,0.0622693300247,-0.0377624,1144.27870612,1.1964,331,289.37492275238037,0.0284047,2,0.0,1000.0,112.205
333000,0.079027056694,-0.0366111,1147.40881673,1.18452,333,291.1559257507324,0.024772,2,0.0,1000.0,110.689
335000,0.115757226944,-0.0379879,1150.6518414,1.14583,335,292.9371118545532,0.0277604,2,0.0,1000.0,113.824
337000,0.0352733135223,-0.0326229,1153.56364047,1.12135,337,294.7187292575836,0.0304705,2,0.0,1000.0,107.316
339000,0.0371444821358,-0.0361837,1157.88657667,1.07837,339,296.5135040283203,0.0307809,2,0.0,1000.0,116.68
342000,0.0720919966698,-0.0321675,1162.96526987,0.999107,342,298.28078961372375,0.0476249,3,0.0,1000.0,156.801
344000,0.113186955452,-0.0360774,1165.23753362,0.951677,344,300.0626709461212,0.0256436,2,0.0,1000.0,110.298
346000,0.0371525883675,-0.0292754,1168.41945293,0.953072,346,301.8442280292511,0.0361378,2,0.0,1000.0,114.065
348000,0.0514523983002,-0.0287547,1172.14288286,1.00257,348,303.6405611038208,0.0329799,2,0.0,1000.0,112.484
350000,0.0699223279953,-0.0385824,1175.40419258,0.953024,350,305.4062604904175,0.025944,2,0.0,1000.0,116.68
352000,0.0623502731323,-0.0329822,1178.33551397,0.940544,352,307.2029082775116,0.0323987,2,0.0,1000.0,109.657
354000,0.0947706699371,-0.0314864,1181.66797492,0.972806,354,308.9701843261719,0.0348817,2,0.0,1000.0,114.361
356000,0.0841344594955,-0.0348488,1184.99803384,0.979187,356,310.76540899276733,0.0280835,2,0.0,1000.0,111.971
358000,0.0449104309082,-0.0331622,1186.64291996,0.990445,358,312.53203654289246,0.031446,2,0.0,1000.0,114.374
360000,0.0696466565132,-0.0352375,1190.40658386,1.01411,360,314.32960653305054,0.022728,2,0.0,1000.0,112.241
362000,0.0580054521561,-0.0317168,1192.30718142,0.965995,362,316.10931849479675,0.0370484,2,0.0,1000.0,113.845
364000,0.126557409763,-0.0354816,1194.81666341,0.930077,364,317.90590739250183,0.0268334,2,0.0,1000.0,114.764
366000,0.0702956318855,-0.0347719,1197.85719824,0.922902,366,319.6715111732483,0.0279786,2,0.0,1000.0,117.178
368000,0.257923483849,-0.0408855,1200.70265259,0.945066,368,321.4545683860779,0.0300575,2,0.0,1000.0,120.798
370000,0.0430205464363,-0.0345948,1201.93208408,0.906422,370,323.23414158821106,0.0346361,2,0.0,1000.0,111.665
372000,0.068220436573,-0.0313987,1204.43019367,0.896732,372,325.01528000831604,0.030961,2,0.0,1000.0,112.996
374000,0.0294671058655,-0.0360976,1207.09155291,0.877693,374,326.7967417240143,0.0261359,2,0.0,1000.0,112.546
376000,0.0303145647049,-0.0233527,1210.78846423,0.90527,376,328.57800030708313,0.047177,2,0.0,1000.0,114.128
378000,0.0629236698151,-0.0344732,1212.51007412,0.908077,378,330.36007928848267,0.028622,2,0.0,1000.0,112.319
380000,0.0343733429909,-0.0304446,1214.48198004,0.919399,380,332.14199352264404,0.0349361,2,0.0,1000.0,119.076
382000,0.0426127314568,-0.0338122,1217.50856808,0.877147,382,333.9221122264862,0.0260206,2,0.0,1000.0,124.634
385000,0.0407075285912,-0.037196,1222.55764584,0.903126,385,335.7186596393585,0.0303057,3,0.0,1000.0,169.135
387000,0.0482861399651,-0.0234192,1225.48979871,0.876008,387,337.4944899082184,0.0448468,2,0.0,1000.0,118.108
389000,0.0464521050453,-0.032001,1227.08503524,0.905468,389,339.2810158729553,0.0269879,2,0.0,1000.0,116.753
391000,0.158166110516,-0.0377578,1228.4821701,0.876978,391,341.0629234313965,0.0285564,2,0.0,1000.0,113.162
393000,0.0852019786835,-0.0381772,1230.25363795,0.854613,393,342.8438386917114,0.0209322,2,0.0,1000.0,120.357
395000,0.0834467411041,-0.0359579,1232.57572535,0.874477,395,344.6094582080841,0.0278199,2,0.0,1000.0,118.181
397000,0.114384174347,-0.038469,1234.40955389,0.839377,397,346.3968403339386,0.028604,2,0.0,1000.0,118.422
399000,0.0629289746284,-0.0357675,1236.12723902,0.827419,399,348.1722478866577,0.0320335,2,0.0,1000.0,119.831
401000,0.0551711320877,-0.0298922,1238.76204502,0.776547,401,349.9533905982971,0.0459466,2,0.0,1000.0,119.486
403000,0.0615081191063,-0.0369573,1240.06323672,0.765747,403,351.74994230270386,0.0301774,2,0.0,1000.0,121.424
405000,0.0461720228195,-0.031965,1243.42824612,0.77087,405,353.53098583221436,0.0310061,2,0.0,1000.0,121.108
407000,0.0608641505241,-0.0340163,1244.74907041,0.762203,407,355.3124771118164,0.0269804,2,0.0,1000.0,123.915
409000,0.330654799938,-0.0440768,1247.09101972,0.724876,409,357.09441804885864,0.0347886,2,0.0,1000.0,120.371
411000,0.13798892498,-0.0369632,1247.18736109,0.703753,411,358.8754811286926,0.0364386,2,0.0,1000.0,125.419
413000,0.0164673924446,-0.0302072,1248.50691186,0.692319,413,360.6717767715454,0.0378532,2,0.0,1000.0,117.989
415000,0.0473543405533,-0.0359902,1250.03669824,0.658422,415,362.4536521434784,0.0326865,2,0.0,1000.0,125.112
417000,0.0368914008141,-0.0335702,1252.22631295,0.614087,417,364.228120803833,0.0323056,2,0.0,1000.0,120.841
419000,0.024938583374,-0.0315859,1254.36610018,0.647657,419,366.0158591270447,0.0289841,2,0.0,1000.0,122.015
421000,0.0759767889977,-0.0354763,1256.04383823,0.607679,421,367.79739809036255,0.0259667,2,0.0,1000.0,117.613
423000,0.0664964914322,-0.0307206,1258.30911895,0.586123,423,369.5795519351959,0.0336805,2,0.0,1000.0,127.36
425000,0.0713222622871,-0.0340872,1260.85783589,0.584749,425,371.37632036209106,0.0280419,2,0.0,1000.0,120.299
428000,0.0947284698486,-0.0341748,1262.33841699,0.566136,428,373.1558632850647,0.0393104,3,0.0,1000.0,181.323
430000,0.0788461565971,-0.035559,1263.48431323,0.586296,430,374.93822407722473,0.0264999,2,0.0,1000.0,122.29
432000,0.0369296073914,-0.0258494,1265.08771325,0.544483,432,376.7041037082672,0.0447804,2,0.0,1000.0,121.334
434000,0.0379104018211,-0.0354888,1265.60022966,0.530663,434,378.50001406669617,0.0313548,2,0.0,1000.0,117.948
436000,0.0755984187126,-0.0322794,1268.74251785,0.507207,436,380.2820827960968,0.0406855,2,0.0,1000.0,120.366
