EpThisIter,TimestepsSoFar,loss_pol_surr,loss_ent,TimeElapsed,EpisodesSoFar,loss_kl,EpLenMean,ev_tdlam_before,loss_vf_loss,EpRewMean,loss_pol_entpen
3,392248,-0.0348018,1.4626,401.945791721344,1859,0.0244736,493.84,0.99777529086,4.97102,1721.25638341,0.0
5,395192,-0.0197512,1.46681,404.06247448921204,1864,0.0194801,495.16,0.911224722862,408.348,1726.97522218,0.0
5,397110,-0.0331928,1.46752,406.1406488418579,1869,0.0240166,478.73,0.98755672574,26.6753,1672.95467467,0.0
5,399231,-0.0378953,1.4871,408.2145118713379,1874,0.0216038,474.36,0.996802897891,5.9338,1659.73473563,0.0
4,401129,-0.0422531,1.4733,410.2817897796631,1878,0.0193143,461.66,0.997736620484,4.61442,1621.31257808,0.0
4,403380,-0.0306087,1.45013,412.3464813232422,1882,0.0243816,463.08,0.997701307293,4.00738,1628.24848718,0.0
5,405409,-0.0418654,1.43227,414.4453468322754,1887,0.018571,455.95,0.997217740631,7.15088,1605.36502551,0.0
4,407147,-0.03592,1.40844,416.52161979675293,1891,0.0193861,455.2,0.997696190607,4.8082,1604.47700034,0.0
5,409339,-0.0345351,1.40069,418.58546137809753,1896,0.0211601,459.85,0.997562069679,6.14622,1623.26948348,0.0
4,411303,-0.0393857,1.37357,420.63248682022095,1900,0.0166359,463.35,0.99885513098,4.05644,1637.76871311,0.0
4,412773,-0.0322397,1.35508,422.7431790828705,1904,0.0237522,457.51,0.998182452167,3.34874,1618.53547416,0.0
6,415667,-0.0326164,1.35994,424.8121528625488,1910,0.0167044,460.83,0.996939561795,6.50079,1630.81855482,0.0
5,417419,-0.0302033,1.32932,426.89038610458374,1915,0.0214479,451.95,0.997927902266,4.19569,1601.43739129,0.0
5,419560,-0.0420796,1.32156,428.96838116645813,1920,0.0216901,451.91,0.998227048549,5.37809,1601.59133058,0.0
4,421172,-0.0362148,1.27795,431.0475387573242,1924,0.0241613,456.7,0.997797811171,5.8692,1619.16144735,0.0
4,423728,-0.0376899,1.29748,433.12449073791504,1928,0.0190424,454.88,0.998401196557,3.55685,1615.20508849,0.0
4,425893,-0.0367132,1.27266,435.21839594841003,1932,0.0245324,463.12,0.998048027977,4.54434,1645.0359509,0.0
3,427387,-0.0318643,1.26603,437.2961847782135,1935,0.0250508,465.69,0.982992468402,12.9936,1654.3574609,0.0
4,429692,-0.0190187,1.27412,439.3588910102844,1939,0.0297357,468.28,0.884284473956,436.473,1663.30356599,0.0
3,431847,-0.0198545,1.3039,441.4371793270111,1942,0.0195436,477.92,0.853336393833,463.638,1696.39122695,0.0
3,434027,-0.0187603,1.29826,443.51540970802307,1945,0.0344978,484.52,0.842909693718,459.207,1718.93460283,0.0
3,436170,-0.0161128,1.32949,445.60927844047546,1948,0.018632,486.81,0.849490389228,436.398,1725.98610571,0.0
3,437968,-0.0329188,1.29133,447.6597671508789,1951,0.0277864,490.58,0.993668053765,5.53972,1740.36155554,0.0
3,439989,-0.0235532,1.27707,449.7499620914459,1954,0.0322968,499.72,0.855330333114,288.918,1771.71594609,0.0
3,442359,-0.0192363,1.28548,451.8157072067261,1957,0.0286385,509.77,0.855304419994,389.464,1806.52353787,0.0
2,443778,-0.0155779,1.26519,453.9139485359192,1959,0.0452528,515.3,0.744476348162,444.604,1825.13938007,0.0
3,445939,-0.013809,1.28901,455.99248933792114,1962,0.0215715,518.95,0.844441831112,443.814,1838.93830928,0.0
2,447939,-0.0235707,1.28996,458.07735085487366,1964,0.0522795,527.47,0.124852001667,757.945,1866.05612491,0.0
3,450476,-0.0266061,1.26984,460.15629053115845,1967,0.0349388,540.11,0.574127197266,840.275,1909.68802014,0.0
2,451963,-0.0315292,1.2566,462.21858382225037,1969,0.0309248,548.53,0.98713414371,9.49729,1940.06412877,0.0
4,453693,-0.036461,1.21775,464.3119957447052,1973,0.0270035,548.58,0.99489986198,6.72383,1941.17791005,0.0
4,456562,-0.0192577,1.20434,466.3826525211334,1977,0.0208706,559.58,0.886080317199,430.577,1978.65225756,0.0
