EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_ent,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr
5,517.37,1882,1793.33091213,0.998825580929,1.56359,395165,0.0,3.6107,434.5004405975342,0.0163748,-0.0340631
5,512.07,1887,1775.92955414,0.998561617569,1.53698,397158,0.0,5.37829,436.92236948013306,0.0252571,-0.0359373
5,509.73,1892,1766.77834828,0.908858679235,1.52303,399085,0.0,258.534,439.35904693603516,0.01866,-0.0217799
5,505.91,1897,1754.00733645,0.993220955133,1.48285,400807,0.0,5.92059,441.7971897125244,0.0189431,-0.0285844
5,502.63,1902,1744.95410483,0.998027015012,1.44911,403328,0.0,3.09181,444.1876039505005,0.0215562,-0.042295
4,498.91,1906,1734.28061425,0.998451327323,1.45283,405354,0.0,3.8982,446.6119875907898,0.0192139,-0.0377738
3,501.48,1909,1743.49357514,0.853018313646,1.47424,407529,0.0,420.224,449.0891041755676,0.0257384,-0.0186913
2,510.84,1911,1775.16347584,0.806576773524,1.51275,409434,0.0,201.021,451.6174566745758,0.0192203,-0.0171677
4,507.8,1915,1766.87725286,0.982918396592,1.48591,411391,0.0,10.7545,454.13456535339355,0.027712,-0.0282724
3,513.02,1918,1784.08460005,0.856947854161,1.48913,413358,0.0,401.387,456.6557443141937,0.0270817,-0.0109708
3,506.32,1921,1765.82131273,0.980582905933,1.50805,415688,0.0,13.9624,458.87562084198,0.0197345,-0.0267708
4,493.09,1925,1723.91000457,0.992208082229,1.53261,417732,0.0,7.42126,460.94604539871216,0.0207661,-0.0285323
3,490.4,1928,1716.04412908,0.997188837966,1.52733,419642,0.0,4.31444,463.04671692848206,0.0187304,-0.0342847
4,489.92,1932,1714.80486504,0.99615530856,1.49138,421759,0.0,6.54038,465.15618872642517,0.0276742,-0.0336705
4,486.23,1936,1702.16885446,0.996747336583,1.47046,423862,0.0,7.75388,467.2265260219574,0.0151293,-0.0360592
3,479.74,1939,1681.46523712,0.998077773955,1.4559,425813,0.0,3.64009,469.27441358566284,0.0273696,-0.0311767
5,481.3,1944,1686.9779343,0.996717834845,1.41992,428032,0.0,4.08229,471.3614435195923,0.0214256,-0.0341809
3,489.41,1947,1714.94401392,0.996982604498,1.39235,429804,0.0,5.03453,473.4688832759857,0.0223031,-0.0317232
4,497.66,1951,1743.83691926,0.997645683121,1.36714,431963,0.0,4.27392,475.6096258163452,0.0179705,-0.0379568
3,497.35,1954,1742.71396987,0.998092378257,1.36731,433414,0.0,3.89422,477.67439126968384,0.0271873,-0.035563
4,501.34,1958,1755.96396636,0.997839435469,1.35331,435504,0.0,3.70542,479.743882894516,0.023782,-0.0282028
3,518.33,1961,1811.85631173,0.628482073545,1.34777,438261,0.0,697.604,481.82808470726013,0.0290657,-0.0223243
2,529.53,1963,1849.89344081,0.748002678156,1.36411,440094,0.0,427.869,483.94644117355347,0.0311945,-0.0200119
2,535.12,1965,1868.56336506,0.738080114126,1.37132,441994,0.0,305.084,486.06645154953003,0.021728,-0.0207001
3,541.85,1968,1890.86671179,0.833526358008,1.36961,444006,0.0,452.91,488.1404776573181,0.0243302,-0.0203974
3,552.52,1971,1928.80477953,0.990594721399,1.3527,445980,0.0,6.02214,490.2352502346039,0.0267235,-0.0391144
4,561.23,1975,1959.50638358,0.996958527714,1.36796,448352,0.0,4.94561,492.32861375808716,0.0244219,-0.0355698
2,574.02,1977,2002.53988226,0.794814750552,1.36671,450352,0.0,232.935,494.45643639564514,0.034622,-0.0216905
2,582.79,1979,2032.35375185,0.754856705666,1.34296,451839,0.0,441.55,496.6159772872925,0.0175308,-0.0211014
5,583.32,1984,2031.71355188,0.824255213141,1.31836,454133,0.0,605.463,498.7741286754608,0.028941,-0.0270163
5,584.36,1989,2034.96085323,0.910356268287,1.29529,456698,0.0,247.445,500.9374101161957,0.0228874,-0.0225964
