loss_ent,loss_vf_loss,EpThisIter,TimestepsSoFar,EpisodesSoFar,EpRewMean,ev_tdlam_before,loss_pol_surr,TimeElapsed,loss_kl,loss_pol_entpen,EpLenMean
-0.422737,4882.96,2,247711,4576,5674.11701416,-0.0782051086426,-0.00962649,213.2279407978058,0.0261246,0.0,609.45
-0.431687,4905.14,4,249410,4580,5624.29406518,0.581993401051,-0.00749097,214.97793579101562,0.0173516,0.0,604.11
-0.44936,4408.25,2,250924,4582,5696.79825918,0.257223844528,-0.00873484,216.72793006896973,0.0155797,0.0,611.9
-0.454536,6110.74,3,253451,4585,5755.4703275,0.162093877792,-0.00663631,218.477924823761,0.0253096,0.0,618.2
-0.430658,4984.55,2,255451,4587,5892.0920059,-0.136170744896,-0.0106833,220.24354529380798,0.0210377,0.0,632.87
-0.419753,5081.54,2,257451,4589,5907.92427444,-0.000890374183655,0.00313651,222.00916481018066,0.0531569,0.0,634.57
-0.40353,4387.38,3,259453,4592,5917.89565513,0.603231936693,-0.0144679,223.75915932655334,0.0123318,0.0,635.63
-0.411511,3943.34,2,261164,4594,6044.73658934,0.339691281319,-0.00555757,225.54040384292603,0.0237764,0.0,649.24
-0.419047,6217.76,3,263516,4597,6118.97600995,0.254954278469,-0.00980537,227.29040002822876,0.018511,0.0,657.2
-0.412207,5233.06,2,265516,4599,6247.58759433,-0.0649565458298,-0.00904312,229.0403938293457,0.0218209,0.0,671.0
-0.420688,7487.17,4,268156,4603,6306.38346915,0.421264886856,-0.00988811,230.7761194705963,0.0118934,0.0,677.3
-0.427798,3840.07,3,270244,4606,6328.91785564,0.418008446693,-0.00714341,232.54756426811218,0.0155067,0.0,679.72
-0.433941,5330.5,2,272244,4608,6498.5323038,-0.0688154697418,-0.00928576,234.29109621047974,0.00914739,0.0,697.92
-0.439534,4216.26,2,273660,4610,6477.68680592,0.376139938831,-0.00779807,236.057843208313,0.0143498,0.0,695.68
-0.416606,5377.95,2,275660,4612,6506.18814401,-0.00254940986633,0.000361912,237.80633687973022,0.0499589,0.0,698.73
-0.40816,5803.44,3,278417,4615,6586.95637131,0.390906155109,-0.0106373,239.55527663230896,0.0146256,0.0,707.4
-0.407615,5441.97,2,280417,4617,6709.5228509,-0.0102542638779,0.00566155,241.32231497764587,0.059246,0.0,720.55
-0.41362,2863.74,2,281889,4619,6738.8522302,0.20852714777,-0.0145489,243.07242679595947,0.0110838,0.0,723.7
-0.425582,5706.83,4,284171,4623,6671.72109913,0.481930136681,-0.0144935,244.82370448112488,0.00850978,0.0,716.49
-0.437156,6663.21,4,286314,4627,6624.20865801,0.566054135561,-0.0125091,246.5874044895172,0.0109371,0.0,711.39
-0.44729,5746.93,2,288314,4629,6668.32257252,-0.151694178581,-0.00579965,248.35302352905273,0.0105865,0.0,716.12
-0.43755,5527.75,2,290314,4631,6688.49066047,-0.0501581430435,-0.00787494,250.10301971435547,0.0175862,0.0,718.28
-0.439235,4564.37,6,292585,4637,6439.85620484,0.625077098608,-0.0139721,251.8530135154724,0.00996926,0.0,691.58
-0.424767,4633.39,2,294413,4639,6483.92895513,0.273658692837,-0.0116335,253.63425946235657,0.0164378,0.0,696.32
-0.441036,2202.85,3,296796,4642,6431.10749985,0.821340501308,0.00250693,255.4000174999237,0.0293178,0.0,690.65
-0.438217,6141.74,2,298796,4644,6431.68855994,-0.355997920036,-0.00690421,257.1654381752014,0.0107958,0.0,690.7
-0.422228,3244.27,2,300334,4646,6467.79630454,0.323440670967,-0.00700371,258.9157440662384,0.0177766,0.0,694.57
-0.428644,6098.75,3,302831,4649,6538.54072332,0.311333715916,-0.0110709,260.66574001312256,0.00729888,0.0,702.15
-0.42596,5666.02,2,304831,4651,6605.97812634,-0.0484691858292,-0.00873042,262.41573333740234,0.0179559,0.0,709.38
-0.41363,5714.46,2,306831,4653,6679.84989171,-0.0610054731369,-0.00236704,264.1794476509094,0.0561686,0.0,717.3
-0.408924,7091.93,3,309063,4656,6767.18628865,0.298101007938,-0.00795658,265.9160406589508,0.0216254,0.0,726.66
-0.432392,4852.15,2,310932,4658,6880.63077955,0.233858764172,-0.00589017,267.66769552230835,0.0114806,0.0,738.83
-0.43457,6945.25,3,312975,4661,6914.31192185,0.299555838108,-0.00918607,269.4174349308014,0.00995839,0.0,742.43
-0.437522,3616.46,2,314534,4663,7014.19345102,0.386293768883,-0.00802406,271.18375182151794,0.0201949,0.0,753.14
-0.448384,6865.97,3,316857,4666,7096.26540236,0.393757760525,-0.0106631,272.9319267272949,0.0183847,0.0,761.93
-0.445459,5017.63,2,318857,4668,7186.70410514,0.0178344845772,0.00569715,274.66631150245667,0.0580975,0.0,771.62
-0.457825,5964.62,5,321495,4673,7147.04052307,0.741241782904,-0.0131988,276.41703748703003,0.0143518,0.0,767.35
-0.492079,4071.16,5,323555,4678,6970.5095071,0.879218176007,-0.0114507,278.1660225391388,0.00889235,0.0,748.37
-0.503369,6470.28,2,325555,4680,7092.46683969,0.0121894478798,0.0116589,279.9162278175354,0.0484885,0.0,761.45
-0.510722,3402.98,2,327279,4682,7112.21257244,0.584294378757,-0.0132714,281.6662313938141,0.0184979,0.0,763.55
-0.532921,4235.64,2,329045,4684,7090.50863384,0.433766245842,-0.00620558,283.4159562587738,0.0303075,0.0,761.21
-0.525028,4738.69,2,331045,4686,7134.7024204,-0.0427937507629,-0.00536167,285.1503052711487,0.0436979,0.0,765.94
-0.523769,5747.91,2,333045,4688,7134.88878194,-0.0163602828979,-0.00666478,286.9005055427551,0.0116785,0.0,765.94
-0.538382,6066.99,3,335587,4691,7099.142909,0.33718842268,-0.00852726,288.66621232032776,0.0198006,0.0,762.09
-0.541607,4779.83,2,337587,4693,7185.44367691,0.0684970021248,-0.00691516,290.4317035675049,0.0114825,0.0,771.34
-0.536872,5176.74,2,339587,4695,7212.53378504,0.0223624110222,-0.013066,292.18142199516296,0.0162564,0.0,774.23
-0.527064,5175.61,2,341587,4697,7273.01086712,-0.0794936418533,-0.00445202,293.946941614151,0.031082,0.0,780.71
-0.508457,5874.13,2,343587,4699,7273.13601991,-0.00312447547913,-0.00917335,295.6971662044525,0.0181861,0.0,780.71
-0.514482,5886.9,2,345587,4701,7273.20019757,-0.0208708047867,-0.00576989,297.4630558490753,0.0229759,0.0,780.71
-0.505939,5889.19,2,347587,4703,7400.11014023,-0.0157757997513,-0.00590115,299.1973943710327,0.014448,0.0,794.31
-0.508997,6037.71,2,349587,4705,7485.20585125,-0.0847029685974,-0.00889494,300.96429085731506,0.0185734,0.0,803.43
-0.519945,5885.07,2,351587,4707,7485.3290455,-0.0407840013504,-0.00913788,302.71286058425903,0.0171336,0.0,803.43
-0.510671,5887.22,2,353587,4709,7485.42903815,-0.000771880149841,-0.00678328,304.46892404556274,0.00953089,0.0,803.43
-0.524695,5856.48,2,355587,4711,7540.00943304,-0.00523126125336,-0.00583512,306.2133643627167,0.0156113,0.0,809.27
-0.515108,5862.24,2,357587,4713,7540.10574375,-0.00330328941345,-0.00219212,307.9697723388672,0.015,0.0,809.27
-0.503246,5896.41,2,359587,4715,7562.96414659,-0.00409471988678,-0.00457713,309.7282214164734,0.0155623,0.0,811.7
-0.475536,5908.58,2,361587,4717,7563.11232718,-0.00628435611725,-0.00901647,311.47821831703186,0.018106,0.0,811.7
-0.47879,5909.54,2,363587,4719,7612.48906973,-5.47170639038e-05,-0.0105664,313.22821378707886,0.0186081,0.0,816.98
-0.478491,7705.95,4,366111,4723,7635.27752661,0.284313678741,-0.00864776,314.9938316345215,0.0250104,0.0,819.4
-0.495877,3972.75,2,368087,4725,7724.00896395,0.409173548222,0.010708,316.72819995880127,0.051727,0.0,828.91
-0.496603,5907.03,2,370087,4727,7806.386624,-0.0010142326355,-0.00453915,318.47965359687805,0.00879336,0.0,837.73
-0.494091,7892.48,3,372156,4730,7719.863513,0.26051068306,-0.00541558,320.2279849052429,0.0176186,0.0,828.42
-0.487618,5888.37,2,374156,4732,7746.62760493,-0.000723361968994,-0.00603017,321.96235513687134,0.0127539,0.0,831.26
-0.48469,3289.04,3,376026,4735,7835.29001209,0.453121066093,-0.00849911,323.72797417640686,0.0185219,0.0,840.75
-0.50055,3883.57,2,378006,4737,7960.95923445,0.596445173025,-0.0043452,325.5021450519562,0.0207635,0.0,854.21
-0.487552,5947.93,2,380006,4739,7977.34908314,-0.0533514022827,-0.00195676,327.24477195739746,0.0173504,0.0,855.93
-0.492537,4108.22,2,382006,4741,7996.20293506,0.0929968953133,-0.0133035,328.9869496822357,0.0116648,0.0,857.91
-0.50116,8913.59,3,385006,4744,8035.81639133,-0.0361773967743,0.00260804,330.7443449497223,0.0235065,0.0,862.1
-0.531645,5958.4,2,387006,4746,8079.25433774,-0.0881736278534,-0.00865297,332.4854185581207,0.00855086,0.0,866.72
-0.525689,5912.92,2,389006,4748,8079.64282157,-0.00132274627686,-0.00730032,334.2595911026001,0.0187592,0.0,866.72
-0.527789,5916.99,2,391006,4750,8126.89522368,-0.00134372711182,-0.00400597,336.0343084335327,0.0130692,0.0,871.75
-0.523042,5462.98,2,393006,4752,8127.25866288,0.00344038009644,-0.00627526,337.7908992767334,0.00415097,0.0,871.75
-0.533086,5933.16,2,395006,4754,8127.66530988,-0.0238424539566,-0.0030099,339.5323362350464,0.032322,0.0,871.75
-0.555267,1799.76,2,396551,4756,8157.12333097,0.803235456347,-0.0112712,341.2750897407532,0.0229471,0.0,874.88
-0.56001,5869.68,2,398551,4758,8169.7056189,0.000944137573242,-0.00867845,343.031370639801,0.0104679,0.0,876.19
-0.542759,6062.39,2,400551,4760,8259.26210185,-0.0439001321793,-0.00604599,344.7823386192322,0.0084667,0.0,885.76
-0.517853,5963.93,2,402551,4762,8300.64250811,-0.00173211097717,-0.00483926,346.53331112861633,0.019292,0.0,890.17
-0.496146,5959.15,2,404551,4764,8300.93649494,-0.00611805915833,-0.00626049,348.2907395362854,0.0296789,0.0,890.17
-0.505882,8823.65,3,407551,4767,8364.52466793,-0.00039005279541,-0.00775487,350.04073429107666,0.0107045,0.0,896.94
-0.518235,5931.02,2,409551,4769,8364.87934924,-0.000134587287903,-0.00294153,351.7907290458679,0.0274751,0.0,896.94
-0.537283,2338.51,3,411234,4772,8373.47823793,0.670954197645,-0.00672306,353.53445410728455,0.00533864,0.0,897.82
-0.545762,3582.77,9,413530,4781,8138.08353854,0.904184989631,-0.00579482,355.27518606185913,0.0099181,0.0,872.51
-0.577347,4694.71,4,414958,4785,7920.46187937,0.793130367994,-0.0109387,357.0322539806366,0.0322148,0.0,849.13
-0.576473,6077.06,2,416958,4787,7920.92839989,-0.0193059444427,-0.00800236,358.7908842563629,0.0119185,0.0,849.13
-0.587117,5981.55,2,418958,4789,7921.33105093,-0.00586175918579,-0.00185234,360.5418920516968,0.0217898,0.0,849.13
-0.57115,5988.86,2,420958,4791,7964.39817231,-0.00229156017303,-0.00828197,362.2907922267914,0.0142822,0.0,853.71
-0.554409,5988.55,2,422958,4793,7964.73709209,-0.00464296340942,-0.0031582,364.04158878326416,0.0375708,0.0,853.71
-0.556061,8709.12,3,425958,4796,7965.28874047,-0.00126421451569,-0.00503426,365.8068516254425,0.0171877,0.0,853.71
-0.566104,6828.63,3,427972,4799,7873.7100259,0.160360753536,-0.00464516,367.5724575519562,0.0299768,0.0,843.85
-0.535763,5946.81,2,429972,4801,7874.08140369,-0.00916695594788,-0.00704787,369.33808064460754,0.0119683,0.0,843.85
-0.521195,5949.65,2,431972,4803,7874.45316215,0.000162363052368,-0.00437648,371.0880198478699,0.0170759,0.0,843.85
-0.515641,5955.44,2,433972,4805,7874.80683966,-0.008180975914,-0.00448493,372.8537197113037,0.0215821,0.0,843.85
-0.528258,5945.87,2,435972,4807,7875.14981123,0.00121986865997,-0.00620101,374.58812737464905,0.023476,0.0,843.85
-0.54666,7066.02,3,438077,4810,7792.06080918,0.319614648819,-0.00782701,376.35367941856384,0.00728876,0.0,834.9
-0.548114,5928.59,2,440077,4812,7792.43199473,-0.0100041627884,-0.00434006,378.0923843383789,0.0197118,0.0,834.9
-0.55413,5901.62,2,442077,4814,7792.80314156,-0.0342795848846,-0.00536149,379.85466623306274,0.0153543,0.0,834.9
