loss_vf_loss,loss_pol_entpen,loss_kl,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,EpRewMean,loss_pol_surr,EpThisIter
17.8753,0.0,0.0213508,481.07,2.61439,296509,327.74220418930054,1749,0.991863746196,1579.2815042,-0.0332134,4
8.36112,0.0,0.0176647,477.07,2.58837,298537,330.21376037597656,1755,0.996527519077,1565.49620424,-0.0302627,6
8.21018,0.0,0.0165915,488.2,2.58298,301007,332.72628951072693,1759,0.996954577509,1602.5475574,-0.034199,4
14.5363,0.0,0.0140822,489.58,2.58506,302519,335.2112605571747,1763,0.993733006995,1608.41487782,-0.0311649,4
121.331,0.0,0.0106717,493.82,2.5867,304832,337.6791718006134,1767,0.904926553369,1621.86764946,-0.0206196,4
333.323,0.0,0.0229031,494.43,2.57826,307177,340.1017622947693,1773,0.913886494935,1623.17435354,-0.02048,6
262.506,0.0,0.0115293,495.5,2.57686,309106,342.25717639923096,1778,0.918056346476,1626.62548875,-0.0177884,5
16.837,0.0,0.0174893,492.21,2.52662,310959,344.35120677948,1784,0.987277843058,1615.07724202,-0.0323067,6
8.4924,0.0,0.0184734,498.64,2.50836,313031,346.47632670402527,1788,0.991795635782,1637.01329737,-0.0365258,4
606.261,0.0,0.0168333,468.02,2.52747,315258,348.5397460460663,1796,0.861971661448,1540.60441893,-0.0229317,8
9.04911,0.0,0.0128293,445.87,2.49924,317024,350.61642956733704,1802,0.991029364057,1471.57510089,-0.0311352,6
11.3542,0.0,0.0214466,439.68,2.48931,319141,352.7258610725403,1807,0.995675043203,1452.25444077,-0.0307619,5
344.282,0.0,0.0215082,445.45,2.47223,321528,354.82187032699585,1812,0.903262272477,1470.01420443,-0.0194226,5
8.91752,0.0,0.0160419,450.17,2.493,323287,356.96468472480774,1815,0.990011711605,1485.17854514,-0.0272232,3
7.44538,0.0,0.0184568,455.95,2.47307,324761,359.04504919052124,1817,0.993438424077,1504.45005937,-0.0331287,2
237.237,0.0,0.0209912,470.83,2.46132,327566,361.1405119895935,1821,0.893266022205,1551.89481727,-0.0152605,4
21.2388,0.0,0.0169145,449.6,2.44978,329489,363.23524355888367,1827,0.97638121061,1486.30062146,-0.0333313,6
16.7869,0.0,0.0181936,442.83,2.44306,331518,365.3760278224945,1833,0.991715892218,1465.1121009,-0.0303765,6
9.02251,0.0,0.0171059,439.62,2.44769,333561,367.47589135169983,1837,0.99412761163,1455.07270415,-0.032031,4
5.62399,0.0,0.0199304,441.33,2.41592,335315,369.74160051345825,1840,0.996679553995,1461.80242019,-0.0345112,3
12.693,0.0,0.0141454,426.98,2.43581,337711,371.81318402290344,1846,0.994620950427,1417.27815443,-0.0326495,6
8.80964,0.0,0.0151853,425.58,2.42364,339521,373.9139575958252,1850,0.996355816955,1413.39262237,-0.0343231,4
4.36229,0.0,0.0145251,436.64,2.42917,341258,376.00740146636963,1852,0.996638777433,1448.75266055,-0.028886,2
3.6177,0.0,0.0189855,448.23,2.43094,343360,378.1510331630707,1855,0.997732904973,1486.64648957,-0.0348836,3
6.32224,0.0,0.0142722,450.3,2.42904,346037,380.24905252456665,1859,0.996714259963,1492.34811522,-0.0323403,4
8.87124,0.0,0.0181425,454.51,2.40045,347970,382.3440890312195,1863,0.995537849609,1505.60573307,-0.033627,4
382.993,0.0,0.0197152,459.93,2.40658,350178,384.50772070884705,1866,0.851485818624,1522.83484853,-0.0191081,3
352.45,0.0,0.0354476,463.95,2.41103,352186,386.66406440734863,1869,0.847164452076,1534.74249711,-0.0157713,3
89.8531,0.0,0.020252,467.25,2.39988,354267,388.85197615623474,1874,0.911706119776,1544.62543778,-0.024388,5
10.4952,0.0,0.0183005,471.56,2.40451,356262,391.0074806213379,1878,0.98875396885,1558.71972157,-0.0308425,4
6.29465,0.0,0.0178715,478.17,2.38112,358146,393.22892665863037,1882,0.996080548503,1580.47277265,-0.0305594,4
5.68371,0.0,0.0155889,484.16,2.33074,360108,395.4603888988495,1886,0.996403374244,1600.33730702,-0.0357675,4
7.40663,0.0,0.0199833,484.39,2.29578,362489,397.7801766395569,1891,0.997352399398,1601.32944721,-0.0335988,5
10.7725,0.0,0.0173189,492.79,2.24472,364537,400.0470631122589,1896,0.996652290924,1629.78211091,-0.0351849,5
8.01305,0.0,0.0130571,498.78,2.21735,366265,402.2818353176117,1900,0.997420001775,1649.31534876,-0.0360509,4
6.47335,0.0,0.0134812,504.72,2.2001,368359,404.50786232948303,1903,0.996716846479,1668.31083682,-0.0348403,3
8.36951,0.0,0.0144528,499.09,2.18783,370643,406.76534128189087,1910,0.99722929881,1651.58322133,-0.0352537,7
6.20422,0.0,0.0136323,496.66,2.17809,372401,409.1368854045868,1914,0.997896599816,1643.06663495,-0.0311207,4
4.94139,0.0,0.0159639,488.12,2.14304,374455,411.59375381469727,1918,0.997829306172,1615.68512715,-0.0344469,4
4.33201,0.0,0.0137654,488.46,2.1206,376768,413.93047308921814,1922,0.998365477542,1617.98707513,-0.0308496,4
312.525,0.0,0.0107166,493.55,2.127,378844,416.36066126823425,1927,0.907447658479,1633.10294459,-0.0202355,5
8.55649,0.0,0.0142587,497.22,2.0879,380420,418.7420401573181,1930,0.991032721475,1645.51591046,-0.0314132,3
7.7076,0.0,0.0241806,501.4,2.0893,382833,421.13637709617615,1936,0.992069457658,1658.17119608,-0.0312086,6
231.853,0.0,0.0144941,487.05,2.07738,384951,423.57804918289185,1942,0.924125276506,1611.43965988,-0.0195117,6
8.06169,0.0,0.0174193,490.45,2.04189,386756,426.0238037109375,1946,0.98966145236,1622.69379361,-0.021222,4
5.22896,0.0,0.0183658,493.81,2.05178,388902,428.4638891220093,1950,0.997315737652,1633.57363922,-0.0384279,4
7.02195,0.0,0.0250042,483.66,2.03726,390883,430.9051990509033,1954,0.996571912663,1601.46400666,-0.0324156,4
8.52026,0.0,0.0182873,479.13,2.05991,392492,433.4141516685486,1957,0.989635339938,1585.25019354,-0.0293313,3
347.16,0.0,0.0268363,478.71,2.09554,394485,435.89041566848755,1960,0.865274265409,1583.22600388,-0.0140853,3
239.184,0.0,0.0221802,484.28,2.12233,396398,438.29831862449646,1963,0.876302696764,1599.3080809,-0.0197866,3
658.159,0.0,0.0181479,485.51,2.15282,399228,440.3512079715729,1967,0.757010161877,1602.6732883,-0.0165552,4
14.3307,0.0,0.0223822,482.57,2.16803,401094,442.46033000946045,1970,0.978401474655,1594.25826703,-0.0282782,3
169.368,0.0,0.0164717,487.44,2.1535,403301,444.5569713115692,1975,0.913206465542,1610.78799583,-0.0232583,5
12.5925,0.0,0.019659,486.78,2.16379,404940,446.69504380226135,1978,0.989482870325,1608.7552641,-0.0320236,3
9.7624,0.0,0.019398,484.95,2.1251,407295,448.7578766345978,1983,0.993659218773,1601.69589165,-0.035016,5
379.216,0.0,0.0260464,490.18,2.10642,409126,450.8122715950012,1986,0.863767921925,1616.82985693,-0.0235789,3
366.154,0.0,0.0166052,497.95,2.11747,411499,452.9063274860382,1989,0.862332105637,1641.73377036,-0.0185573,3
9.7312,0.0,0.0158769,508.82,2.09715,413664,455.0001609325409,1992,0.990089683793,1676.77479327,-0.0368332,3
9.58594,0.0,0.0185139,511.78,2.07954,415715,457.11003375053406,1996,0.994479126297,1686.17958672,-0.0377187,4
9.00435,0.0,0.0224344,514.39,2.04847,417704,459.16361951828003,2000,0.996129707666,1694.6136564,-0.0326046,4
8.75047,0.0,0.0156074,513.14,2.0254,419673,461.2346758842468,2003,0.995526793413,1690.41634783,-0.0331749,3
7.25887,0.0,0.0164745,519.48,2.02048,421657,463.3241128921509,2007,0.996810446493,1709.81573762,-0.0358404,4
5.41044,0.0,0.0202073,526.38,1.97607,423281,465.43660283088684,2010,0.996861550026,1732.29593793,-0.0337123,3
398.854,0.0,0.0182887,536.84,2.00133,425522,467.5403263568878,2013,0.853480488062,1764.73852198,-0.0200819,3
4.61795,0.0,0.0222181,537.83,1.94374,427936,469.605087518692,2017,0.994885089342,1766.93517139,-0.0288748,4
4.67927,0.0,0.0223016,539.8,1.95452,429584,471.6640799045563,2020,0.996590359136,1773.11158843,-0.0282832,3
5.34384,0.0,0.0190681,546.33,1.95043,431951,473.77357244491577,2024,0.99754369678,1795.04222129,-0.0426218,4
380.752,0.0,0.0184509,548.68,1.96467,434160,475.8700051307678,2028,0.890636011958,1800.15365085,-0.0166014,4
332.087,0.0,0.0215545,552.79,1.9733,435699,477.99952244758606,2030,0.787391647696,1811.58259752,-0.0189471,2
217.289,0.0,0.0180134,558.18,1.97116,437489,480.06104850769043,2033,0.887581914663,1829.42029133,-0.0231171,3
278.344,0.0,0.0197584,572.04,1.96646,440037,482.1403703689575,2036,0.880591534078,1872.67966712,-0.0218516,3
252.616,0.0,0.0158024,578.54,2.00129,441914,484.2350571155548,2039,0.891553647816,1893.0406271,-0.0171558,3
21.8872,0.0,0.0193302,585.96,1.99472,443918,486.366494178772,2043,0.986059103161,1918.53871898,-0.0330469,4
14.5562,0.0,0.0184128,586.41,1.97402,446040,488.53945302963257,2047,0.99251339538,1920.48301099,-0.0375783,4
