EpisodesSoFar,TimestepsSoFar,EpLenMean,EpRewMean,loss_kl,loss_ent,loss_pol_entpen,loss_vf_loss,loss_pol_surr,ev_tdlam_before,TimeElapsed,EpThisIter
4995,321004,546.54,5081.38049132,0.0167049,-0.491852,0.0,8091.4,-0.0113555,0.421981751919,275.5789067745209,4
4998,323530,569.54,5295.44586701,0.035336,-0.507872,0.0,7334.25,0.00567944,0.187805771828,277.29722571372986,3
5001,325567,571.99,5318.36019196,0.0264756,-0.501523,0.0,7151.66,-0.00695083,0.166700422764,279.0467789173126,3
5003,327450,584.41,5433.84200223,0.0151878,-0.521339,0.0,3311.19,-0.0162708,0.595621794462,280.7811484336853,2
5006,329708,588.13,5468.52880258,0.0192361,-0.498297,0.0,6646.93,-0.00858555,0.31094956398,282.52210545539856,3
5009,331646,585.34,5442.76009699,0.0448954,-0.494598,0.0,5819.94,-0.00298312,0.528077185154,284.2683575153351,3
5013,333708,574.32,5340.35063677,0.0129837,-0.504962,0.0,5109.39,-0.00995066,0.575920164585,286.015700340271,4
5016,335168,563.79,5242.53622251,0.0101446,-0.493956,0.0,5697.8,-0.0122637,0.497218251228,287.75007033348083,3
5020,337695,571.08,5310.53801602,0.0143567,-0.491756,0.0,6755.78,-0.0153153,0.587273716927,289.5000674724579,4
5024,339958,571.78,5317.30887971,0.0167343,-0.496574,0.0,5943.5,-0.007869,0.549588888884,291.26568484306335,4
5026,341209,571.23,5312.37120389,0.0299128,-0.497624,0.0,4098.68,-0.00900293,0.47919178009,293.0000548362732,2
5032,343927,579.28,5387.48856444,0.0190014,-0.496419,0.0,8986.02,-0.0123286,0.57978567481,294.75004982948303,6
5035,345590,589.07,5478.69893427,0.0318095,-0.491955,0.0,6024.03,-0.00775344,0.399944245815,296.4773426055908,3
5037,347590,603.09,5609.35753098,0.0263293,-0.491556,0.0,5803.97,-0.00286952,-0.0917247533798,298.4380102157593,2
5040,350053,607.52,5650.79228077,0.0553539,-0.503708,0.0,6173.4,0.00220305,0.470973312855,300.17537450790405,3
5042,352053,607.52,5651.08382923,0.0082604,-0.491265,0.0,5908.23,-0.00599109,-0.00551199913025,301.92191314697266,2
5047,353409,582.23,5415.93505844,0.0725677,-0.507343,0.0,6083.27,0.00511884,0.706355661154,303.6719057559967,5
5049,355409,585.88,5450.16792004,0.0230482,-0.50222,0.0,6110.81,-0.00403766,-0.174799442291,305.4062759876251,2
5051,357409,596.39,5548.26726474,0.0130506,-0.493934,0.0,5222.36,-0.0116483,0.0199930071831,307.14437794685364,2
