loss_ent,EpLenMean,loss_pol_surr,loss_kl,ev_tdlam_before,loss_vf_loss,EpThisIter,TimestepsSoFar,EpRewMean,loss_pol_entpen,TimeElapsed,EpisodesSoFar
4.291,351.75,-0.0520164,0.0265983,0.995259046555,15.0621,6,405256,1218.30743979,0.0,409.6181855201721,2180
4.24007,351.37,-0.0552823,0.0242164,0.994758733548,17.1805,7,407313,1220.31574577,0.0,411.6646237373352,2187
4.2495,354.16,-0.0550222,0.0261813,0.993542232551,13.3653,6,409422,1232.25103004,0.0,413.7115957736969,2193
4.26371,359.89,-0.0569773,0.0294942,0.9913820168,22.0804,5,411540,1257.09570713,0.0,415.7741527557373,2198
4.23519,360.84,-0.0563605,0.0225656,0.993027780671,17.9019,6,413480,1262.63395029,0.0,417.82112550735474,2204
4.21082,369.85,-0.0522824,0.0221798,0.993109632283,13.5806,4,415675,1298.19867298,0.0,419.88279819488525,2208
4.16054,376.76,-0.0509659,0.0230008,0.99230409367,14.355,5,417677,1323.43608125,0.0,421.9455416202545,2213
4.13999,373.47,-0.0553518,0.0308406,0.993480672594,20.8611,6,419813,1312.82595317,0.0,423.98522758483887,2219
4.12357,375.32,-0.0512676,0.0203015,0.988553375937,19.9112,4,421788,1322.7719525,0.0,426.03866362571716,2223
4.08244,376.27,-0.0531938,0.0229201,0.982660902664,32.8939,5,423541,1329.50903238,0.0,428.0866162776947,2228
4.09368,382.01,-0.0293192,0.0201094,0.893949456513,353.24,4,425525,1349.26601779,0.0,430.1592981815338,2232
4.07046,374.24,-0.0541521,0.0297679,0.986614105292,26.2557,6,427654,1326.19125635,0.0,432.2102735042572,2238
4.0448,376.05,-0.0471979,0.0248539,0.990315536037,19.4758,5,429903,1335.05922388,0.0,434.25719141960144,2243
4.0245,380.16,-0.0544241,0.0277508,0.99366956111,14.4196,4,431792,1349.33995681,0.0,436.3125956058502,2247
4.02157,378.63,-0.0573407,0.0248799,0.989652756602,26.936,5,433757,1346.81062688,0.0,438.3752782344818,2252
4.00296,383.88,-0.0499478,0.0307315,0.993227250408,16.3808,5,435891,1367.36356745,0.0,440.42354226112366,2257
3.93199,383.43,-0.0536878,0.0297904,0.994656529743,20.1457,6,437867,1367.54476891,0.0,442.46928429603577,2263
3.95109,383.9,-0.053463,0.0267059,0.99266751809,20.8058,6,439984,1369.29047802,0.0,444.5320324897766,2269
3.91807,383.66,-0.0535936,0.0300896,0.992151830345,29.0501,7,442318,1371.07559742,0.0,446.5937557220459,2276
3.91543,382.76,-0.0593275,0.0268801,0.992507752962,23.9438,6,444146,1367.52115928,0.0,448.6407787799835,2282
3.93466,385.62,-0.0582751,0.0274056,0.99278819887,13.8879,6,446192,1379.53094123,0.0,450.70336389541626,2288
3.90532,388.8,-0.0597723,0.0239523,0.992697124835,16.5976,5,448302,1389.94502095,0.0,452.76609897613525,2293
3.8823,387.6,-0.0539019,0.0254501,0.992673930712,20.909,5,450300,1385.59763665,0.0,454.81318402290344,2298
3.85903,391.01,-0.062235,0.0262969,0.994985287543,13.5967,5,452299,1396.79557917,0.0,456.87577056884766,2303
3.80978,386.02,-0.064003,0.032999,0.99240179779,20.7758,5,454277,1377.20010373,0.0,458.9249484539032,2308
