EpThisIter,EpRewMean,loss_pol_entpen,TimeElapsed,TimestepsSoFar,EpLenMean,EpisodesSoFar,loss_pol_surr,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before
8,908.5,0.0,325.3268344402313,425898,908.5,1202,-0.00694359,63.5019,0.0098943,1.08649,0.329345881939
3,897.96,0.0,326.88919591903687,427844,897.96,1205,-0.00688733,40.0567,0.00455081,1.08303,0.663797974586
2,897.96,0.0,328.4673025608063,429844,897.96,1207,-0.00689165,69.576,0.00540685,1.09668,-0.00283169746399
2,897.96,0.0,330.03040981292725,431844,897.96,1209,-0.00688063,69.2313,0.00995952,1.09306,-0.0187882184982
2,897.96,0.0,331.5927822589874,433844,897.96,1211,-0.00679838,68.9778,0.00863831,1.08457,-0.00737226009369
2,897.96,0.0,333.14057970046997,435844,897.96,1213,-0.00492579,68.9427,0.00572274,1.10152,-0.000618815422058
2,898.57,0.0,334.71851778030396,437844,898.57,1215,-0.00356817,68.7952,0.00460728,1.10126,-0.00387609004974
2,898.57,0.0,336.2801887989044,439844,898.57,1217,-0.00710473,68.7166,0.00582131,1.11581,-9.31024551392e-05
2,898.57,0.0,337.8433880805969,441844,898.57,1219,-0.0074657,57.9532,0.00485088,1.10994,0.00407606363297
2,898.57,0.0,339.4058372974396,443844,898.57,1221,-0.00966785,68.812,0.00785153,1.10491,-0.0115159749985
2,898.57,0.0,340.98449063301086,445844,898.57,1223,-0.0042065,68.8826,0.00370943,1.09839,-0.00141906738281
2,898.57,0.0,342.5469949245453,447844,898.57,1225,-0.00688212,68.8056,0.00457227,1.11161,-0.000335335731506
2,901.14,0.0,344.10940289497375,449844,901.14,1227,-0.00370466,68.73,0.00262177,1.1183,-0.00122034549713
2,901.14,0.0,345.67037868499756,451844,901.14,1229,-0.0080522,68.5805,0.00724195,1.10299,0.000674545764923
2,901.14,0.0,347.2180190086365,453844,901.14,1231,-0.00527988,68.6555,0.00769521,1.11448,-0.000940084457397
2,901.14,0.0,348.78123211860657,455844,901.14,1233,-0.00494064,68.5558,0.0046042,1.11296,-0.00935184955597
2,901.14,0.0,350.3521420955658,457844,901.14,1235,-0.0054107,68.4574,0.00839516,1.11204,-0.00103080272675
2,901.14,0.0,351.90573263168335,459844,901.14,1237,-0.00538177,68.4733,0.00886309,1.10253,-0.00130140781403
3,901.14,0.0,353.4690008163452,462844,901.14,1240,-0.00724048,98.7367,0.00794522,1.09871,-0.00235688686371
2,904.24,0.0,355.03033685684204,464844,904.24,1242,-0.00538402,67.6007,0.00843114,1.08207,-0.0062450170517
7,853.66,0.0,356.57822728157043,466786,853.66,1249,-0.00787278,15.1753,0.00361232,1.07577,0.287136495113
