loss_kl,EpLenMean,TimestepsSoFar,EpisodesSoFar,loss_pol_entpen,ev_tdlam_before,loss_pol_surr,loss_ent,TimeElapsed,loss_vf_loss,EpThisIter,EpRewMean
0.0320845,501.49,387019,2089,0.0,0.973880570382,-0.0563651,4.4809,385.95292234420776,83.351,4,2107.11065459
0.0235916,506.04,389044,2093,0.0,0.968027636409,-0.06292,4.5123,387.98926615715027,148.55,4,2128.58717985
0.0250399,516.78,390869,2096,0.0,0.858495607972,-0.0371334,4.50442,390.00537371635437,752.879,3,2180.17177569
0.0250897,521.91,392725,2099,0.0,0.88517819345,-0.0367905,4.4998,392.0306746959686,790.986,3,2205.27472639
0.0289718,529.39,394883,2102,0.0,0.855971559882,-0.0379266,4.50415,394.0678162574768,748.128,3,2241.91601096
0.0303068,530.0,396718,2106,0.0,0.965449847281,-0.0576817,4.47421,396.09194445610046,70.3446,4,2246.49478369
0.0219299,540.7,398723,2109,0.0,0.842690363526,-0.0390087,4.44771,398.12405920028687,757.731,3,2295.22014152
0.031585,555.47,401342,2112,0.0,0.682004213333,-0.0347199,4.44584,400.14576840400696,1358.23,3,2356.67925169
0.0319852,569.92,403333,2114,0.0,0.773254185915,-0.0311524,4.42633,402.1843717098236,652.043,2,2420.79828677
0.03095,583.65,405333,2116,0.0,0.241045355797,-0.0373228,4.38814,404.19970059394836,1066.63,2,2480.90864838
0.0361596,593.85,407171,2118,0.0,0.744523018599,-0.0355549,4.38859,406.24718284606934,716.251,2,2527.01478045
0.0277697,597.03,409309,2121,0.0,0.867028072476,-0.0404528,4.36809,408.3157856464386,236.722,3,2538.46122654
0.0293784,611.65,411309,2123,0.0,0.570810168982,-0.0368334,4.35831,410.3730471134186,710.673,2,2603.34918203
0.0346065,607.99,413551,2128,0.0,0.909434303641,-0.0614688,4.35261,412.38762497901917,141.067,5,2583.56834057
0.0251479,616.0,415420,2131,0.0,0.85577249527,-0.0378033,4.3277,414.4189727306366,830.218,3,2617.55658788
0.0298219,617.34,417787,2134,0.0,0.643745660782,-0.0331951,4.30089,416.4495813846588,1436.58,3,2624.24399527
0.0198719,623.5,419629,2136,0.0,0.807975530624,-0.0368764,4.2612,418.48961210250854,714.248,2,2652.53479364
0.029498,624.76,421830,2139,0.0,0.854770436883,-0.0412733,4.2629,420.5282871723175,711.772,3,2657.94748403
