EpisodesSoFar,loss_vf_loss,EpRewMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,TimeElapsed,loss_ent,loss_pol_surr,EpLenMean,loss_kl,ev_tdlam_before
1844,486.947,1674.88213982,0.0,3,386836,409.0712926387787,4.23936,-0.0358691,461.85,0.0308257,0.772279262543
1851,178.266,1638.31244744,0.0,7,388867,411.2121260166168,4.21025,-0.0691458,452.09,0.0324832,0.945379491895
1855,134.225,1680.51511873,0.0,4,391098,413.35286688804626,4.16089,-0.0636989,460.12,0.0271629,0.958059281111
1859,162.447,1690.55561346,0.0,4,393000,415.51036953926086,4.12482,-0.0663739,461.93,0.02877,0.931355282664
1863,151.966,1650.70544958,0.0,4,394294,417.6845245361328,4.08627,-0.0609211,450.97,0.0288192,0.95761005953
1868,157.767,1640.90714272,0.0,5,397193,419.84470415115356,4.04565,-0.0602775,444.56,0.0282418,0.957384962589
1875,218.956,1655.29964533,0.0,7,399231,421.9928958415985,4.04488,-0.0613309,446.62,0.0309597,0.954389341176
1881,444.938,1630.57869845,0.0,6,401406,424.1343595981598,3.9998,-0.0521837,438.83,0.0277539,0.834551557899
1885,142.107,1622.56911185,0.0,4,403360,426.29055738449097,4.00611,-0.0600509,435.43,0.0285912,0.954470742494
1888,657.725,1658.96143716,0.0,3,405339,428.45270133018494,4.01253,-0.0438227,443.04,0.0222884,0.80505014956
1893,186.67,1645.26799626,0.0,5,407541,430.5800094604492,4.02499,-0.0622362,438.9,0.0253192,0.951470438391
1899,206.682,1584.1007153,0.0,6,409432,432.68213272094727,4.05425,-0.0626907,424.46,0.0375997,0.92537252605
1903,148.976,1592.37922292,0.0,4,411388,434.82369232177734,4.02356,-0.0624018,425.5,0.0316678,0.962733026594
1906,135.181,1599.87320329,0.0,3,413020,436.99979758262634,4.01871,-0.0582893,426.19,0.0305145,0.954771220684
1912,474.557,1605.12161827,0.0,6,415680,439.1572606563568,4.0372,-0.0494934,426.93,0.0284141,0.890934385359
1917,357.407,1635.9753312,0.0,5,417774,441.31529808044434,4.01706,-0.046988,433.6,0.028548,0.81387424469
1923,375.811,1601.95899671,0.0,6,419803,443.46271681785583,3.97661,-0.0499056,423.59,0.0307537,0.918039128184
1929,201.65,1557.91839244,0.0,6,421530,445.60349440574646,3.9399,-0.0619065,413.54,0.0292843,0.947131801397
1933,117.029,1573.69305828,0.0,4,423402,447.76141715049744,3.88583,-0.0626436,416.99,0.0351241,0.96318860352
1938,204.814,1600.86814377,0.0,5,425780,449.91548252105713,3.83172,-0.0605295,422.34,0.0325732,0.955098811537
1941,141.23,1616.15119636,0.0,3,427144,452.0716323852539,3.78458,-0.0613862,424.92,0.0333877,0.943738605827
1946,131.625,1626.29345554,0.0,5,430044,454.21215295791626,3.8037,-0.0635614,426.79,0.0410817,0.964716363698
1952,187.139,1627.40991242,0.0,6,432097,456.38389825820923,3.79907,-0.0581806,426.49,0.0278378,0.948660418391
1956,117.076,1628.20038978,0.0,4,434156,458.54026913642883,3.77051,-0.0635909,427.14,0.0314508,0.966416995972
1959,156.106,1648.17362749,0.0,3,436132,460.7054090499878,3.7449,-0.056706,431.32,0.0271875,0.944199245423
1963,105.056,1666.07452724,0.0,4,437901,462.8483967781067,3.7089,-0.0598453,436.07,0.0334397,0.973934777081
1966,247.843,1669.89534296,0.0,3,440030,464.99356055259705,3.66067,-0.0532528,437.7,0.0277352,0.892481029034
1969,382.372,1723.16631048,0.0,3,442285,467.1375660896301,3.64046,-0.0404807,449.7,0.0223687,0.870150491595
1972,142.807,1758.72866893,0.0,3,443988,469.29845428466797,3.61246,-0.0504599,457.37,0.0398079,0.962966199964
1977,728.5,1793.03603839,0.0,5,446209,471.45358538627625,3.58726,-0.0458929,464.41,0.0298997,0.867062285542
1980,107.091,1797.02509697,0.0,3,447756,473.590274810791,3.5903,-0.0528242,465.6,0.0228999,0.962401419878
1984,143.501,1833.08816525,0.0,4,450386,475.76242876052856,3.57388,-0.0530839,474.59,0.0267706,0.94694641605
1988,127.852,1818.47687161,0.0,4,452501,477.9148619174957,3.543,-0.0619233,471.62,0.0304365,0.955913968384
