loss_pol_surr,loss_pol_entpen,EpRewMean,EpThisIter,EpLenMean,TimestepsSoFar,loss_kl,loss_ent,TimeElapsed,loss_vf_loss,EpisodesSoFar,ev_tdlam_before
-0.0418568,0.0,1309.33782485,6,351.44,581605,0.0229299,0.90732,640.9843332767487,13.5842,2579,0.992057844065
-0.0307179,0.0,1294.31480527,6,346.99,583618,0.0244875,0.910805,643.4238288402557,117.21,2585,0.962952703238
-0.035376,0.0,1284.21942105,6,343.3,585476,0.0265135,0.894934,645.7834396362305,14.4882,2591,0.992442997172
-0.0480901,0.0,1256.94693727,7,334.62,587714,0.0281445,0.864902,648.2269284725189,15.6974,2598,0.993375794031
-0.036106,0.0,1241.13665787,6,330.15,589561,0.0226761,0.881993,650.7421698570251,17.2257,2604,0.992897277232
-0.0399939,0.0,1242.17566132,7,330.35,591648,0.0226281,0.866013,653.2893614768982,12.2193,2611,0.992208939511
-0.0426514,0.0,1209.68446761,8,321.31,593858,0.0252676,0.868931,655.7901430130005,36.0392,2619,0.981373725459
-0.0381207,0.0,1213.58496193,6,321.43,595702,0.0342051,0.858821,658.1954164505005,15.3357,2625,0.993321032263
-0.0346311,0.0,1196.41591092,8,317.72,597850,0.0200368,0.855816,660.3375098705292,90.9804,2633,0.957266714424
-0.0400479,0.0,1191.00873892,7,316.02,600026,0.0229656,0.82934,662.4373424053192,21.9956,2640,0.985523184761
-0.0382656,0.0,1181.15747236,7,313.95,601945,0.0252702,0.832943,664.5950179100037,51.5822,2647,0.978237524629
-0.0384692,0.0,1147.3295324,8,305.64,604074,0.0226851,0.810032,666.6879658699036,66.7334,2655,0.978670822456
-0.0407967,0.0,1130.76970017,7,300.46,606099,0.0247017,0.801138,668.7806293964386,32.0237,2662,0.984130663797
-0.0384943,0.0,1135.33884895,7,300.76,608212,0.0233037,0.826475,670.8585193157196,21.373,2669,0.9907694906
-0.0449116,0.0,1127.85627709,6,298.55,610032,0.0200903,0.818662,672.984133720398,25.7648,2675,0.989473422058
-0.0424087,0.0,1115.52428875,7,294.77,612137,0.0285735,0.781324,675.1155302524567,27.1974,2682,0.991395870224
-0.0394022,0.0,1113.31699183,7,293.76,614257,0.0239634,0.767959,677.179708480835,19.6314,2689,0.988774887286
-0.0372548,0.0,1118.68209732,6,296.02,616262,0.0323002,0.741016,679.2655935287476,31.4646,2695,0.986184229143
-0.0412235,0.0,1115.35734054,7,294.6,618419,0.0214373,0.739286,681.3753123283386,17.7097,2702,0.992180561647
-0.043487,0.0,1115.08052991,7,294.46,620509,0.0245866,0.764315,683.4996237754822,32.2589,2709,0.987544763833
-0.0360844,0.0,1116.94914791,7,294.34,622396,0.0334801,0.76086,685.6181540489197,25.9344,2716,0.989959257655
-0.0410834,0.0,1113.61504117,7,293.74,624435,0.0240992,0.734878,687.71830701828,33.9899,2723,0.989655083977
-0.0422005,0.0,1119.75906949,8,294.17,626674,0.026982,0.718442,689.8121495246887,30.9537,2731,0.987963434309
-0.0377192,0.0,1114.56329773,7,292.8,628722,0.0298613,0.692936,691.9623749256134,41.71,2738,0.985965444706
-0.0427231,0.0,1120.86936692,6,294.01,630497,0.0229054,0.692703,694.0964908599854,35.1515,2744,0.988039502874
-0.0433006,0.0,1143.77389867,6,300.09,632753,0.0298918,0.670396,696.3055105209351,21.7804,2750,0.98940604832
-0.0377418,0.0,1172.35810639,5,307.52,634826,0.0313154,0.653627,698.4999883174896,15.6203,2755,0.986519673839
-0.0430633,0.0,1182.42973325,5,310.22,636554,0.0294922,0.637756,700.8292739391327,9.69963,2760,0.993714417797
-0.0425885,0.0,1192.30159716,6,313.32,638666,0.0279986,0.647477,703.0967860221863,12.0018,2766,0.990267327055
-0.0341582,0.0,1210.06515734,6,318.19,640861,0.0278839,0.66629,705.3983836174011,37.774,2772,0.98136726208
-0.0403856,0.0,1218.69424487,6,320.35,642957,0.0307277,0.647551,707.7210266590118,19.2881,2778,0.989293793216
-0.0373355,0.0,1231.83471495,5,323.85,644823,0.0251357,0.621944,710.0074157714844,20.5309,2783,0.987630028278
-0.0367874,0.0,1245.35102576,6,328.07,647064,0.0345095,0.64031,712.4129819869995,27.3915,2789,0.989251294173
-0.0385392,0.0,1241.41730067,6,326.51,648913,0.030179,0.651498,714.8279447555542,22.2647,2795,0.992714291904
-0.0409817,0.0,1252.44653517,6,329.58,651088,0.0253915,0.667003,717.2992343902588,13.8959,2801,0.990579419769
-0.03696,0.0,1244.17009909,8,327.52,653261,0.0293745,0.663423,719.737312078476,91.9216,2809,0.975420299917
-0.0422269,0.0,1253.56063091,6,329.65,655130,0.0255758,0.654606,722.1488423347473,18.8181,2815,0.988857119344
-0.0327713,0.0,1264.73593103,7,332.1,657361,0.0177304,0.65196,724.5909781455994,82.6109,2822,0.977305116132
