loss_ent,ev_tdlam_before,EpThisIter,loss_pol_entpen,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,EpLenMean,loss_pol_surr,TimestepsSoFar,EpRewMean
-0.398149,0.625708281994,2,0.0,257.15683341026306,3407.58,0.0344452,4484,750.71,-0.0040302,294557,6994.4882336
-0.38911,-0.000576615333557,2,0.0,258.914085149765,5662.7,0.0152613,4486,756.47,-0.00170867,296557,7048.27457866
-0.391813,0.0229678750038,2,0.0,260.70380210876465,3497.17,0.0116782,4488,760.66,-0.00390461,298557,7087.44785436
-0.397287,0.754489243031,3,0.0,262.46921277046204,4108.76,0.0126889,4491,763.04,-0.010197,300249,7109.74623524
-0.381412,0.00970190763474,2,0.0,264.25007796287537,5928.31,0.0210885,4493,768.52,-0.00125321,302249,7160.93175508
-0.390735,0.337341666222,2,0.0,266.0390181541443,6407.18,0.0251494,4495,774.08,-0.00727631,304249,7212.88609563
-0.399984,0.638576120138,3,0.0,267.84518480300903,5124.87,0.00719033,4498,776.49,-0.00355738,306796,7235.4044761
-0.391532,0.676540970802,2,0.0,269.6292860507965,3374.01,0.0183317,4500,783.94,-0.00866197,308549,7304.89580075
-0.400275,-0.0132380723953,2,0.0,271.3883900642395,5830.98,0.0252691,4502,787.14,-0.00649893,310549,7334.81130487
-0.397855,-0.00950992107391,2,0.0,273.1416726112366,5811.89,0.0121841,4504,796.64,-0.00963347,312549,7423.42447403
-0.39256,0.437107980251,3,0.0,274.92237067222595,6081.46,0.0242672,4507,799.06,-0.0036144,315302,7446.14274529
-0.416132,0.293539702892,2,0.0,276.68766689300537,4642.19,0.0195144,4509,791.37,-0.0106906,316533,7374.51803403
-0.425192,0.0831543207169,2,0.0,278.46891260147095,5150.23,0.00932439,4511,791.37,-0.0132902,318533,7374.61394969
-0.424205,-0.0150673389435,3,0.0,280.2345321178436,8642.72,0.00973017,4514,794.55,-0.00623599,321533,7404.40216297
-0.42314,0.37461233139,2,0.0,282.0157766342163,3428.88,0.00895243,4516,793.88,-0.00616315,323466,7398.21189598
-0.431727,-0.0176668167114,2,0.0,283.79702258110046,5937.48,0.0101897,4518,793.88,-0.00751433,325466,7398.21994608
-0.415838,0.617925852537,2,0.0,285.58497405052185,3288.0,0.00808349,4520,795.45,-0.0104611,326974,7412.90296696
-0.401283,-0.0103120803833,2,0.0,287.359605550766,5879.18,0.0037534,4522,795.52,-0.00316903,328974,7413.61816856
-0.395191,0.164847493172,2,0.0,289.1253423690796,3450.93,0.0130813,4524,801.01,-0.0059244,330974,7464.84392329
-0.400305,0.0158390402794,2,0.0,290.9062547683716,5152.17,0.0243481,4526,806.8,-0.00789224,332974,7518.89563755
-0.408928,-0.081326007843,2,0.0,292.6718726158142,5954.11,0.00802148,4528,812.1,-0.00878284,334974,7568.36493658
-0.404269,-0.0392909049988,2,0.0,294.4531178474426,5942.11,0.0089608,4530,820.91,-0.00553134,336974,7650.53947753
-0.422135,0.514998316765,3,0.0,296.2343623638153,4161.08,0.00944303,4533,834.94,-0.0132028,339146,7781.33485821
-0.407809,-0.0165442228317,2,0.0,298.01560831069946,5941.92,0.013034,4535,839.03,-0.0109193,341146,7819.47741151
-0.397372,0.00819718837738,2,0.0,299.7812259197235,5773.87,0.0158465,4537,855.91,-0.00723007,343146,7976.88128763
-0.398366,0.428283929825,3,0.0,301.5641026496887,6148.58,0.0291501,4540,855.28,-0.00581016,345582,7971.07510406
-0.406155,-0.0204043388367,2,0.0,303.3365697860718,5925.21,0.0159929,4542,864.46,-0.00856987,347582,8056.63301318
-0.390958,0.4810552001,3,0.0,305.10989689826965,6362.72,0.00973597,4545,857.54,-0.0140236,349890,7992.1292664
-0.39097,0.278983950615,4,0.0,306.8834204673767,7936.34,0.0239401,4549,846.21,-0.0126637,352200,7886.58611189
-0.400073,0.298458337784,2,0.0,308.65655612945557,5176.1,0.0137905,4551,853.11,-0.0119437,354082,7950.8468089
-0.4026,0.170198619366,3,0.0,310.43757343292236,8141.48,0.0340423,4554,853.51,0.00407324,356348,7954.55863906
-0.393566,-0.0543037652969,2,0.0,312.21881794929504,5872.13,0.0214308,4556,864.56,-0.00815882,358348,8057.53810271
-0.386755,0.400966227055,2,0.0,313.98443818092346,4915.98,0.0132018,4558,863.38,-0.0135127,359702,8046.43987576
-0.401471,0.307334065437,2,0.0,315.7656817436218,5084.54,0.0140153,4560,863.43,-0.00547475,361509,8046.7660526
-0.41386,0.571894019842,9,0.0,317.5290696620941,11430.1,0.019645,4569,810.38,-0.00301502,364292,7552.07337693
-0.411166,0.604230493307,3,0.0,319.30448865890503,5254.38,0.0127715,4572,802.98,-0.00980871,366406,7482.92280428
-0.415353,0.695053607225,4,0.0,321.0785117149353,4910.46,0.0180854,4576,793.59,-0.00844712,368555,7395.23443311
-0.42809,0.499829292297,4,0.0,322.85925793647766,8689.85,0.0129523,4580,788.41,-0.0113665,370488,7346.78018281
-0.447464,0.457064449787,4,0.0,324.6248812675476,8378.51,0.00635127,4584,774.73,-0.0117535,372030,7219.08396486
-0.446557,0.499527752399,4,0.0,326.40612292289734,7749.62,0.0140452,4588,760.74,-0.0110645,374631,7088.3671118
-0.436736,0.319086790085,2,0.0,328.1873679161072,4660.32,0.0154985,4590,763.96,-0.0099494,376588,7118.19679409
-0.423223,0.335541188717,3,0.0,329.9529867172241,6826.94,0.0149872,4593,764.22,-0.00809964,378671,7120.38795173
-0.428464,-0.166581988335,2,0.0,331.73423314094543,5760.69,0.0132761,4595,764.22,-0.00944012,380671,7120.24603757
-0.403023,-0.0154963731766,2,0.0,333.4998507499695,5738.82,0.0428323,4597,768.75,-0.0037706,382671,7162.41564485
