loss_ent,EpisodesSoFar,TimeElapsed,EpThisIter,loss_vf_loss,ev_tdlam_before,loss_kl,EpLenMean,loss_pol_surr,EpRewMean,TimestepsSoFar,loss_pol_entpen
4.26862,1977,417.3592131137848,3,777.905,0.874744638801,0.0245532,624.51,-0.0333629,2516.6112888,417479,0.0
4.21607,1980,419.39033007621765,3,164.522,0.948973476887,0.0288163,631.77,-0.0619513,2554.904414,419732,0.0
4.1792,1982,421.4213581085205,2,66.1649,0.977292124182,0.0346894,637.26,-0.0685259,2581.96548719,421304,0.0
4.16579,1985,423.4513282775879,3,37.2208,0.986491679214,0.0409759,636.84,-0.063029,2579.14501073,423621,0.0
4.14852,1988,425.48387336730957,3,56.9558,0.982931129634,0.0331901,642.49,-0.063644,2603.35964761,425565,0.0
4.13062,1990,427.53796792030334,2,734.598,0.84479123354,0.0358899,652.4,-0.0342893,2649.72241775,427532,0.0
4.11263,1994,429.56929898262024,4,520.464,0.881508514285,0.0311753,654.75,-0.0464428,2660.81313314,430004,0.0
4.10678,1996,431.60071325302124,2,764.741,0.796181619167,0.0393255,666.9,-0.0329982,2720.71692237,431746,0.0
4.09949,1999,433.6320114135742,3,605.412,0.861683174968,0.0347304,668.18,-0.0431891,2733.35521737,433717,0.0
4.07807,2002,435.7101893424988,3,762.036,0.838094636798,0.0340003,673.37,-0.0420372,2758.86306017,435823,0.0
4.04012,2005,437.7573137283325,3,768.156,0.870091304183,0.0634754,678.38,-0.0309932,2785.21495924,438180,0.0
3.98196,2008,439.7730393409729,3,73.9471,0.926464192569,0.0362333,683.71,-0.0608492,2806.04672835,440094,0.0
3.97204,2010,441.8044202327728,2,142.703,0.885145060718,0.0359099,686.96,-0.0493334,2824.8645818,441977,0.0
3.98714,2013,443.8490574359894,3,76.943,0.957492083311,0.198197,696.95,-0.0507007,2869.95294141,444267,0.0
3.98254,2015,445.8824121952057,2,573.149,0.842726409435,0.020398,700.69,-0.0361647,2892.14461344,446016,0.0
3.98442,2017,447.9443726539612,2,747.745,0.831679403782,0.0248944,705.48,-0.0385639,2915.77962937,447538,0.0
3.98055,2020,449.97655177116394,3,1424.31,0.439849793911,0.0273044,720.07,-0.036193,2983.48130787,450538,0.0
3.96889,2022,452.0372169017792,2,778.125,0.782235234976,0.0453558,725.2,-0.0407069,3008.70184351,452362,0.0
3.95211,2025,454.08531165122986,3,98.8044,0.95141697675,0.0353757,727.48,-0.070218,3019.28304578,454281,0.0
3.8861,2028,456.13230872154236,3,72.4102,0.977675639093,0.0307816,725.24,-0.0669032,3011.16417149,456035,0.0
3.88545,2031,458.1793508529663,3,530.897,0.763386160135,0.032065,728.6,-0.0453329,3030.45288826,458453,0.0
3.89423,2033,460.210440158844,2,1430.36,0.466049909592,0.0301957,736.41,-0.0493035,3064.00301006,460453,0.0
