loss_kl,TimeElapsed,ev_tdlam_before,loss_ent,EpisodesSoFar,loss_pol_surr,EpRewMean,loss_vf_loss,EpLenMean,EpThisIter,TimestepsSoFar,loss_pol_entpen
0.0241774,619.3266088962555,0.994495491497,1.39524,2259,-0.0333623,2150.8716562,10.0492,584.69,4,562813,0.0
0.0220813,621.8294687271118,0.995438344777,1.40901,2263,-0.0425246,2129.61920639,11.8078,578.27,4,565034,0.0
0.026471,624.358674287796,0.99757684255,1.36952,2267,-0.0377343,2097.4998418,6.95836,568.97,4,567083,0.0
0.0154253,626.6115584373474,0.994021924213,1.34857,2270,-0.0372079,2085.70775107,5.31757,565.54,3,568569,0.0
0.0158993,628.6705420017242,0.984424923547,1.36992,2274,-0.035736,2127.56640103,10.8044,576.52,4,571291,0.0
0.0193653,630.7591469287872,0.99527750304,1.34051,2277,-0.0373591,2116.65757394,5.93548,573.47,3,573009,0.0
0.023622,632.8428308963776,0.99641001597,1.32057,2281,-0.0276867,2109.1128934,4.54755,570.6,4,575350,0.0
0.017601,634.9835436344147,0.989454271272,1.31903,2285,-0.0316304,2091.94866009,11.6118,565.98,4,577150,0.0
0.0180697,637.085090637207,0.993560148403,1.28896,2290,-0.0352273,2048.34131898,13.6947,553.93,5,579579,0.0
0.0200881,639.1397457122803,0.994468352292,1.26822,2293,-0.0344219,2048.42158218,5.32116,553.87,3,581036,0.0
0.026128,641.2176795005798,0.997279870789,1.27927,2297,-0.0405976,2060.93369153,5.27378,556.89,4,583373,0.0
0.0216864,643.3272573947906,0.998448392958,1.23676,2300,-0.0380302,2077.05493817,3.25618,560.88,3,585300,0.0
0.0183901,645.4233360290527,0.998071365873,1.2071,2304,-0.0394451,2077.56359921,5.01708,560.53,4,587541,0.0
0.0179296,647.5380575656891,0.941581889987,1.21446,2306,-0.0240471,2099.10425477,15.3791,566.84,2,589186,0.0
0.033117,649.5837216377258,0.985387051478,1.20643,2310,-0.0304435,2139.94479007,7.0143,577.57,4,591617,0.0
0.0245241,651.6774289608002,0.996070863213,1.17609,2313,-0.0369597,2164.33215052,7.91734,584.14,3,593361,0.0
0.0251345,653.7884576320648,0.215269863605,1.17745,2315,-0.0186671,2203.94239403,843.472,595.18,2,595361,0.0
0.0235503,655.9839344024658,0.979293126613,1.16649,2318,-0.0315627,2236.95633192,10.4372,603.96,3,597361,0.0
0.0600218,658.2259931564331,0.791374355555,1.14199,2321,-0.0168113,2280.26764454,478.365,616.04,3,600015,0.0
0.0228193,660.483393907547,0.985781720839,1.14134,2323,-0.0314416,2314.52302818,8.01687,625.13,2,601714,0.0
0.0248233,662.76438331604,0.164213299751,1.12505,2325,-0.0213236,2333.76195587,947.91,630.43,2,603714,0.0
0.030236,665.0694675445557,0.761229321361,1.14566,2327,-0.0234676,2358.01365125,497.107,637.22,2,605697,0.0
0.01858,667.4365785121918,0.131087660789,1.15439,2329,-0.0147119,2374.50232068,909.835,642.36,2,607697,0.0
0.0229854,669.8586258888245,0.761984273791,1.17196,2331,-0.0124378,2410.36775777,479.967,652.32,2,609516,0.0
0.0292161,672.264669418335,0.987561280839,1.19903,2334,-0.0287749,2418.10983177,10.6984,654.06,3,611914,0.0
0.0256523,674.6659469604492,0.130396485329,1.20031,2336,-0.0201073,2437.70843652,852.382,659.37,2,613914,0.0
0.0251083,677.1737587451935,0.745671480894,1.21099,2338,-0.0175799,2454.69631542,505.854,664.21,2,615499,0.0
0.0263433,679.6950740814209,0.652930825949,1.20994,2341,-0.0204698,2460.41938318,872.993,666.17,3,618135,0.0
0.0247507,682.2414336204529,0.983761033043,1.21825,2344,-0.0349721,2467.24875212,14.1573,667.6,3,620197,0.0
0.0219234,684.6948499679565,0.984465479851,1.22164,2347,-0.0350355,2468.88654711,27.9525,667.52,3,622481,0.0
0.0181913,686.8578577041626,0.993927451316,1.20881,2350,-0.0365504,2464.10025329,10.1451,665.73,3,624181,0.0
0.0194786,688.9519860744476,0.941340122372,1.19945,2354,-0.0263987,2435.56135164,125.372,658.11,4,626435,0.0
0.024512,691.069474697113,0.989901089109,1.19676,2356,-0.034136,2470.17678233,10.0667,667.72,2,628231,0.0
0.0255048,693.1478176116943,0.785210490227,1.1947,2358,-0.0201425,2500.99431804,458.255,676.5,2,629929,0.0
0.0162189,695.2187135219574,0.89064040035,1.21581,2361,-0.0250473,2534.61360322,291.702,686.22,3,632367,0.0
0.0188193,697.3091938495636,0.834732100368,1.21841,2364,-0.0201241,2540.06824824,526.349,688.43,3,634501,0.0
0.024848,699.4052357673645,0.982007551938,1.16966,2367,-0.0394202,2563.56810846,15.4834,694.82,3,636565,0.0
0.0217773,701.5450572967529,0.989568619989,1.17361,2370,-0.0400984,2577.75508639,11.7718,698.47,3,638416,0.0
0.0238419,703.6235206127167,0.993406382855,1.17974,2375,-0.0425177,2543.9580254,15.2554,689.52,5,640861,0.0
0.0155487,705.718391418457,0.855110660195,1.15927,2378,-0.0217124,2553.79889387,458.819,692.84,3,642981,0.0
0.0212444,707.7831494808197,0.989115135744,1.10471,2381,-0.0269682,2555.53300952,7.25926,693.44,3,644694,0.0
0.0243362,709.920405626297,0.995694590267,1.10385,2384,-0.0393745,2592.96300718,6.36625,703.31,3,646861,0.0
0.025065,712.0302848815918,0.885750778019,1.10306,2387,-0.0232383,2621.4454456,274.814,710.72,3,649197,0.0
0.0231822,714.1550672054291,0.986797225662,1.10761,2390,-0.0304848,2634.63289216,11.5984,714.66,3,651045,0.0
0.0236473,716.2974190711975,0.795686453581,1.12335,2392,-0.0190483,2656.45032218,426.794,720.77,2,652678,0.0
0.0297621,718.5644369125366,0.854771479964,1.10351,2395,-0.0213377,2674.74259376,476.27,726.11,3,654707,0.0
0.030393,720.8520660400391,0.991491848603,1.11032,2399,-0.0340551,2655.57963607,9.2261,720.81,4,656924,0.0
0.0312461,723.1892518997192,0.759328052402,1.11735,2401,-0.0186683,2678.21459743,518.468,727.23,2,658668,0.0
0.0596917,725.4284899234772,0.880146257579,1.11941,2405,-0.020034,2687.09369428,467.709,729.63,4,661504,0.0
0.0213369,727.8048174381256,0.989159106277,1.1033,2409,-0.0444158,2667.83475636,10.4468,724.48,4,663517,0.0
0.0279392,730.2192385196686,0.994269114453,1.07113,2412,-0.0399445,2683.20721733,12.2936,728.73,3,665336,0.0
0.0254102,732.6580197811127,0.996022384614,1.09105,2416,-0.039612,2631.21247706,8.22185,714.45,4,667507,0.0
0.0251965,735.1398932933807,0.996837493265,1.10685,2420,-0.0464611,2601.30076187,7.49825,706.75,4,669690,0.0
0.0183716,737.5951550006866,0.997416636441,1.07872,2423,-0.0423727,2568.84285871,7.52375,697.63,3,671477,0.0
0.0229848,740.1020679473877,0.995212966111,1.02138,2427,-0.0427642,2493.31711032,14.0932,676.44,4,673341,0.0
0.0251555,742.586238861084,0.997070593992,0.974724,2430,-0.0392051,2465.56215742,6.93726,667.82,3,675298,0.0
0.0234985,745.0453977584839,0.997134111822,0.957502,2433,-0.0426066,2453.40985144,6.97409,664.02,3,677627,0.0
0.0247927,747.1892824172974,0.994749733247,0.922172,2437,-0.0371911,2404.920871,10.8279,649.74,4,679888,0.0
0.0260841,749.2724051475525,0.996910909656,0.915926,2440,-0.0444168,2387.74055575,6.08685,644.37,3,681936,0.0
0.0210914,751.3193984031677,0.996418548049,0.926447,2443,-0.0432467,2368.95935614,8.03522,639.52,3,683722,0.0
0.0259643,753.3990592956543,0.996974225855,0.888765,2447,-0.0384284,2354.55490733,7.03682,635.72,4,686053,0.0
0.032843,755.5126683712006,0.99659718154,0.874384,2451,-0.0338769,2349.10472251,7.70648,634.2,4,688080,0.0
0.0267489,757.6242105960846,0.997126376256,0.858901,2454,-0.0410634,2362.41937311,6.75674,636.94,3,690129,0.0
0.0227846,759.6884822845459,0.998253658297,0.854035,2457,-0.0382801,2326.91663822,5.27059,627.08,3,691637,0.0
0.0316729,761.7417249679565,0.995884856209,0.830788,2461,-0.0410364,2294.60947525,8.93343,616.82,4,694049,0.0
0.0249444,763.8565611839294,0.996712419903,0.806663,2465,-0.0402508,2264.28188056,7.91178,607.88,4,696074,0.0
0.0165517,765.9377934932709,0.862027019262,0.825287,2468,-0.0227265,2264.82669224,478.475,608.48,3,697860,0.0
0.0248998,768.0926487445831,0.991290265694,0.858262,2473,-0.0403328,2247.27514085,15.1504,603.74,5,700174,0.0
