TimestepsSoFar,loss_pol_entpen,TimeElapsed,ev_tdlam_before,EpThisIter,EpLenMean,loss_pol_surr,EpisodesSoFar,loss_ent,loss_kl,EpRewMean,loss_vf_loss
415663,0.0,695.1293785572052,0.949186302722,21,103.22,-0.140238,5488,17.9109,0.139244,51.4740684539,0.451888
417787,0.0,698.5933980941772,0.95294560492,20,104.34,-0.148651,5508,17.9007,0.145127,52.038351542,0.367585
419743,0.0,702.0308873653412,0.947292163968,20,102.73,-0.146584,5528,17.8418,0.132726,51.1832965524,0.574474
421833,0.0,705.5152521133423,0.943653758615,20,102.13,-0.147164,5548,17.8089,0.135136,50.9027348379,0.38792
423922,0.0,708.9839916229248,0.959522843361,20,101.65,-0.146975,5568,17.7944,0.135594,50.5458510369,0.398466
425934,0.0,712.4214808940887,0.954835046083,20,102.71,-0.147181,5588,17.7895,0.132227,51.4402606149,0.421602
428017,0.0,715.8589708805084,0.953665591776,21,101.46,-0.144654,5609,17.7336,0.140792,50.9837423229,0.318753
429990,0.0,719.2964601516724,0.942826755345,22,99.07,-0.145821,5631,17.6991,0.138568,49.6737747481,0.338614
432057,0.0,722.7594659328461,0.928628377616,18,101.34,-0.142117,5649,17.6373,0.140455,50.5833445357,0.350153
434111,0.0,726.2197263240814,0.952339295298,22,98.67,-0.142602,5671,17.6483,0.130135,48.919989143,0.371436
436169,0.0,729.6732699871063,0.952714975923,19,100.54,-0.145171,5690,17.6491,0.146059,49.5072778806,0.386803
438177,0.0,733.1343100070953,0.96113364026,20,100.94,-0.139925,5710,17.5844,0.136132,49.2322796285,0.264861
440311,0.0,736.5972793102264,0.953083176166,21,103.21,-0.147446,5731,17.5848,0.137847,50.4976038581,0.281146
442363,0.0,740.0265643596649,0.94490384683,19,102.21,-0.149291,5750,17.553,0.145338,50.3224764245,0.351818
444330,0.0,743.4695239067078,0.942185442895,18,105.18,-0.144058,5768,17.5185,0.145905,51.8585154303,0.310848
446456,0.0,746.9143493175507,0.96076239273,21,103.9,-0.144505,5789,17.5012,0.126128,51.2248289053,0.315189
448439,0.0,750.3749759197235,0.943367440253,16,107.42,-0.143068,5805,17.486,0.149267,53.1908374169,0.276729
450522,0.0,753.8594813346863,0.94535497576,20,108.44,-0.14598,5825,17.4188,0.137712,53.2008092369,0.47749
452503,0.0,757.3058805465698,0.946500796825,20,106.47,-0.144032,5845,17.3756,0.136444,52.0298616225,0.396906
454624,0.0,760.7774112224579,0.947941742837,21,105.06,-0.137121,5866,17.3361,0.128231,51.3870572553,0.344371
456650,0.0,764.2072384357452,0.962737262249,21,103.75,-0.148827,5887,17.2577,0.146123,50.9461229791,0.313458
458665,0.0,767.6372377872467,0.954768601805,21,99.01,-0.146806,5908,17.1842,0.143999,48.5239637977,0.332599
460738,0.0,771.1020321846008,0.948637377471,21,98.01,-0.139609,5929,17.1559,0.161441,48.4562303886,0.392357
462770,0.0,774.5394489765167,0.953401878476,19,99.43,-0.150668,5948,17.1311,0.140444,48.955467817,0.338911
