loss_kl,TimestepsSoFar,ev_tdlam_before,loss_pol_surr,EpisodesSoFar,loss_ent,EpLenMean,EpThisIter,loss_pol_entpen,loss_vf_loss,TimeElapsed,EpRewMean
0.0228623,346002,0.788768813014,-0.0429018,1630,4.39071,603.83,2,0.0,371.37,344.6395332813263,2235.18228892
0.0323832,348114,0.93322865665,-0.0598038,1633,4.37249,601.35,3,0.0,110.449,346.665647983551,2233.39189067
0.0304779,349983,0.937906898558,-0.0646454,1637,4.35803,598.1,4,0.0,144.225,348.66905331611633,2223.64355756
0.0325638,351826,0.950159918517,-0.0618911,1640,4.34678,593.86,3,0.0,159.605,350.70152020454407,2209.49405125
0.030383,354047,0.939984705299,-0.0586192,1645,4.33407,585.2,5,0.0,131.407,352.7330300807953,2177.5336283
0.0321287,355927,0.844110071659,-0.0436011,1648,4.33442,591.87,3,0.0,595.904,354.74872732162476,2203.20726302
0.0215775,357927,0.276994407177,-0.0413408,1650,4.32197,598.96,2,0.0,880.05,356.78108310699463,2232.30803851
0.025804,360130,0.766993448138,-0.0462989,1653,4.32112,600.57,3,0.0,548.483,358.80261039733887,2239.1720901
0.0213969,362130,0.363300800323,-0.0436898,1655,4.29117,611.3,2,0.0,403.343,360.83372688293457,2283.90217391
0.0420285,364525,0.894419856369,-0.0599055,1659,4.23646,610.6,4,0.0,173.968,362.8657455444336,2279.87981553
0.032243,366110,0.826077476144,-0.0431837,1661,4.20681,614.24,2,0.0,637.216,364.8843414783478,2294.47497393
0.0279887,367748,0.945425976068,-0.0665747,1664,4.19795,611.26,3,0.0,124.02,366.9203288555145,2282.07134662
0.0203808,369747,0.775533765554,-0.042691,1666,4.19996,626.02,2,0.0,608.623,368.9439218044281,2337.21686745
0.0354866,371888,0.714098274708,-0.0423001,1669,4.20524,634.77,3,0.0,994.111,370.9797878265381,2372.16753338
0.0303813,373888,0.268649399281,-0.0410334,1671,4.19318,649.76,2,0.0,869.652,372.9828431606293,2434.13189848
0.0237304,376762,0.809377536178,-0.0488511,1674,4.18292,657.74,3,0.0,479.3,375.01401376724243,2465.71355712
0.0275205,378583,0.966808717698,-0.061672,1677,4.19407,652.16,3,0.0,97.199,377.04542422294617,2443.99567638
0.0199096,380583,0.344536006451,-0.0398264,1679,4.15038,661.18,2,0.0,1095.31,379.0611798763275,2476.80395321
0.0357015,382098,0.949720401317,-0.0636842,1681,4.11885,667.34,2,0.0,54.5305,381.0924813747406,2501.32907734
0.0254391,384417,0.848322242498,-0.0529744,1685,4.10647,668.28,4,0.0,645.543,383.1073462963104,2504.71877336
0.0225532,386734,0.761836588383,-0.0432521,1688,4.07692,675.95,3,0.0,620.157,385.1376988887787,2535.67041283
0.0273312,388552,0.885093599558,-0.05193,1691,4.04401,679.57,3,0.0,211.308,387.1775267124176,2552.57962055
0.0217341,390261,0.787615522742,-0.0387702,1693,4.02618,686.42,2,0.0,408.313,389.193297624588,2584.47694967
0.0226615,392218,0.864970952272,-0.0538436,1697,4.03101,681.25,4,0.0,365.934,391.22501850128174,2566.5511536
0.0297269,395196,0.914991505444,-0.0583652,1701,3.9956,685.57,4,0.0,297.242,393.2448105812073,2589.62538033
0.0312106,396962,0.956888016313,-0.0658678,1705,3.97954,667.09,4,0.0,129.527,395.2788381576538,2517.45209937
0.0333601,398765,0.96685879305,-0.0619309,1708,3.94695,675.38,3,0.0,90.0174,397.31147050857544,2556.32422636
0.0207659,401260,0.841880828142,-0.0327739,1711,3.9619,688.12,3,0.0,591.198,399.3339774608612,2613.28502789
0.0280615,403416,0.882983714342,-0.0499442,1715,3.9987,677.05,4,0.0,634.174,401.3653585910797,2569.6577629
0.0196553,405416,0.369249403477,-0.0402847,1717,4.00292,679.31,2,0.0,610.548,403.39685440063477,2582.5813642
