EpisodesSoFar,ev_tdlam_before,EpThisIter,loss_pol_entpen,loss_pol_surr,loss_vf_loss,EpLenMean,loss_ent,TimestepsSoFar,TimeElapsed,loss_kl,EpRewMean
2313,0.989999219775,6,0.0,-0.0520875,35.5769,302.18,4.19501,425692,427.8667314052582,0.0308339,1028.58739054
2319,0.986114496365,6,0.0,-0.048882,51.3647,309.8,4.14862,428014,429.89991450309753,0.0273661,1057.95907089
2324,0.986108398065,5,0.0,-0.0530964,34.8105,313.27,4.13533,429804,431.937215089798,0.0249913,1072.1088592
2330,0.986350065097,6,0.0,-0.054271,49.7087,316.64,4.09808,431966,433.998822927475,0.0273363,1079.49199749
2334,0.9858943047,4,0.0,-0.0534827,23.5328,322.77,4.09069,433810,436.03133034706116,0.0276196,1102.91106193
2339,0.971645727754,5,0.0,-0.0490328,67.6259,328.58,4.06992,435859,438.0699670314789,0.0258399,1121.67043134
2344,0.987765334547,5,0.0,-0.0545041,39.6503,333.92,4.08066,438138,440.1163475513458,0.0296284,1138.38488622
2350,0.993483949918,6,0.0,-0.057538,18.7716,335.7,4.05354,440240,442.15578389167786,0.0295202,1144.87083372
2356,0.992667124607,6,0.0,-0.0565367,19.0866,336.69,4.01968,442247,444.18716502189636,0.0319542,1147.11567585
2361,0.991363503039,5,0.0,-0.0569928,29.3603,333.26,3.99867,443918,446.2410752773285,0.0243762,1132.18339958
2367,0.994579397608,6,0.0,-0.0547689,17.2127,339.93,3.97204,446214,448.26181507110596,0.0293598,1158.75529932
2372,0.990139794536,5,0.0,-0.0599295,26.8434,344.51,3.96133,448212,450.3219165802002,0.0277078,1173.31451649
2376,0.971861781552,4,0.0,-0.0527486,50.5741,354.17,3.91698,450315,452.341965675354,0.024283,1205.74422927
2380,0.987237243913,4,0.0,-0.0564063,19.832,367.05,3.87117,452460,454.3905186653137,0.032358,1251.85641737
2386,0.992976133246,6,0.0,-0.0590431,18.573,368.61,3.83295,454391,456.42889070510864,0.0252296,1256.2552712
2394,0.990419655107,8,0.0,-0.05711,22.0318,367.24,3.84997,456447,458.46665358543396,0.0256809,1252.56618276
2400,0.993358458858,6,0.0,-0.0594417,18.1351,369.57,3.83669,458591,460.51480197906494,0.0320174,1260.82370965
2405,0.992747722194,5,0.0,-0.0521519,21.3194,372.49,3.8849,460468,462.54591631889343,0.031512,1270.406206
