EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,EpThisIter,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpRewMean,loss_ent,EpLenMean,loss_pol_entpen
2262,391008,0.968084711581,6,128.554,390.30985164642334,0.0281862,-0.0606851,1618.70928656,3.63609,446.03,0.0
2266,393112,0.878030396998,4,402.821,392.3211991786957,0.0243904,-0.0410074,1656.7862756,3.62198,455.56,0.0
2269,394977,0.969891440123,3,79.2084,394.3648827075958,0.0310817,-0.0582119,1689.79014575,3.55679,463.44,0.0
2271,396977,0.265150725842,2,1010.0,396.37329602241516,0.051912,-0.0230596,1734.51932285,3.59101,475.52,0.0
2273,398977,0.299136936665,2,966.316,398.4065225124359,0.0301616,-0.0318825,1775.85572134,3.5741,486.69,0.0
2277,401389,0.839965179563,4,565.645,400.4428639411926,0.0295138,-0.0396076,1793.13325932,3.55693,491.92,0.0
2280,403276,0.859761163592,3,570.354,402.45858502388,0.0366117,-0.0229329,1821.51366844,3.56973,498.84,0.0
2282,405276,0.443191230297,2,710.123,404.4909131526947,0.0289563,-0.0313825,1877.65496726,3.60975,512.25,0.0
2284,406874,0.785145878792,2,574.688,406.5122232437134,0.0430662,-0.0288857,1921.1078221,3.60342,522.87,0.0
2287,409119,0.855107754469,3,437.105,408.544291973114,0.0360723,-0.0124004,1954.27506199,3.62581,531.08,0.0
2289,411118,0.736076325178,2,606.614,410.55811285972595,0.0380121,-0.0308028,2005.33750652,3.62319,543.19,0.0
2292,413227,0.831136614084,3,588.943,412.57158756256104,0.0279126,-0.0372847,2049.56684618,3.55852,553.15,0.0
2295,415467,0.976607495919,3,65.0837,414.60596203804016,0.0305067,-0.0628293,2087.4244976,3.49393,561.2,0.0
2298,417497,0.980751151219,3,81.3135,416.6223883628845,0.0334296,-0.0570444,2131.61393886,3.48164,570.9,0.0
2303,419567,0.972407927737,5,107.978,418.6566700935364,0.0228075,-0.0558885,2135.3962443,3.45223,571.3,0.0
2306,421764,0.824821323156,3,675.445,420.6773855686188,0.0326193,-0.036581,2171.45198193,3.45047,579.59,0.0
2308,423489,0.970068285242,2,50.0012,422.7002708911896,0.0380279,-0.0566953,2193.46567887,3.38421,584.02,0.0
2312,425616,0.979126313701,4,65.401,424.73130106925964,0.0375144,-0.0552272,2208.96002552,3.4012,587.25,0.0
2315,427639,0.969139596447,3,69.5415,426.74674916267395,0.0236983,-0.0595844,2225.20183299,3.38507,591.74,0.0
2317,429614,0.786279693246,2,619.396,428.79342436790466,0.0295401,-0.0323447,2278.59107798,3.35509,604.5,0.0
2320,432119,0.87068900466,3,659.521,430.8095705509186,0.0304384,-0.0334824,2332.90180473,3.34,616.64,0.0
2323,433820,0.95407717675,3,63.8457,432.82508754730225,0.0250258,-0.0537231,2320.45842159,3.32652,613.38,0.0
2325,435820,0.406555771828,2,899.422,434.8561246395111,0.0303037,-0.029464,2364.40035672,3.29954,623.65,0.0
2328,437809,0.924277201295,3,70.2664,436.8715543746948,0.0375441,-0.0549348,2403.19302822,3.27875,632.76,0.0
2331,440160,0.954037670046,3,131.563,438.90288376808167,0.0411674,-0.0442692,2426.4652668,3.23112,637.72,0.0
2334,442361,0.917522333562,3,238.871,440.92065930366516,0.0297788,-0.0378183,2443.96590741,3.20046,640.62,0.0
2336,443726,0.810550346971,2,681.485,442.94238924980164,0.0248318,-0.0292564,2443.57007425,3.19288,639.9,0.0
2338,445726,0.317057132721,2,1215.48,444.9737811088562,0.0340141,-0.0317478,2477.54761497,3.18033,647.26,0.0
2341,448444,0.855370342731,3,666.792,447.00589632987976,0.0389237,-0.0247951,2552.83867399,3.15536,665.0,0.0
2343,450444,0.376843035221,2,1104.82,449.0116226673126,0.038109,-0.0279511,2616.04901815,3.18246,679.34,0.0
2347,452148,0.883035898209,4,415.718,451.0436820983887,0.0371672,-0.0463887,2603.99290245,3.17395,675.84,0.0
2349,454141,0.824989393353,2,663.939,453.07130765914917,0.0321247,-0.0309169,2670.0234969,3.1605,692.02,0.0
2351,455877,0.751281708479,2,697.172,455.09099292755127,0.0311766,-0.0326065,2715.61398345,3.16964,702.48,0.0
2354,458430,0.884914912283,3,672.901,457.1231155395508,0.0325417,-0.0370851,2731.02534079,3.14073,705.31,0.0
2356,460430,0.40524494648,2,1214.04,459.1698043346405,0.024794,-0.0307168,2785.24672679,3.12541,718.27,0.0
