loss_ent,TimeElapsed,EpLenMean,loss_kl,EpThisIter,loss_vf_loss,EpisodesSoFar,ev_tdlam_before,TimestepsSoFar,loss_pol_entpen,EpRewMean,loss_pol_surr
17.523,813.9315903186798,115.24,0.128655,17,0.272545,5013,0.960325665772,409536,0.0,57.2673192164,-0.147794
17.4736,817.774261713028,113.29,0.134772,21,0.345345,5034,0.960268989205,411606,0.0,56.4427450316,-0.148782
17.3899,821.8760719299316,113.18,0.147014,18,0.368537,5052,0.952307283878,413657,0.0,56.21628881,-0.14639
17.369,826.077823638916,114.77,0.129456,17,0.287833,5069,0.953664548695,415723,0.0,56.7743476873,-0.148988
17.3194,830.5781679153442,111.58,0.132067,19,0.304384,5088,0.958391413093,417712,0.0,54.7958813262,-0.142998
17.2686,835.2507407665253,110.59,0.138969,18,0.267692,5106,0.963628973812,419748,0.0,54.4922416471,-0.150851
17.2762,839.4374167919159,111.01,0.170184,19,0.308415,5125,0.966215800494,421805,0.0,54.3839177268,-0.145616
17.2132,843.2964816093445,112.63,0.122327,18,0.321335,5143,0.961542591453,423879,0.0,55.244579442,-0.149211
17.1861,847.1325674057007,112.74,0.148145,18,0.255282,5161,0.937396578491,425962,0.0,55.4524312417,-0.145387
17.181,850.9634397029877,112.03,0.136051,18,0.450316,5179,0.955123815686,427969,0.0,55.2779883248,-0.137996
17.1165,854.8666789531708,110.55,0.139836,20,0.425977,5199,0.955027423799,429997,0.0,54.3298146532,-0.137514
17.0704,858.9445102214813,110.16,0.140894,19,0.355796,5218,0.95132092014,432081,0.0,54.3388829211,-0.149916
17.0245,863.1793701648712,112.45,0.150965,16,0.29145,5234,0.958590168506,434078,0.0,55.6097718414,-0.149042
16.9558,867.7914717197418,111.74,0.147536,20,0.307488,5254,0.960341390222,436213,0.0,54.81296965,-0.147704
16.8934,872.3537220954895,113.25,0.127336,16,0.269576,5270,0.9578791596,438231,0.0,55.4289763722,-0.145115
16.8794,876.6008367538452,112.0,0.136672,20,0.283948,5290,0.963807076216,440312,0.0,54.9440658465,-0.148589
16.8866,880.4012858867645,114.43,0.137802,18,0.324791,5308,0.951787874103,442363,0.0,56.1327955047,-0.147268
16.8709,884.1943373680115,113.64,0.142049,18,0.266085,5326,0.962135609239,444367,0.0,55.5963937437,-0.146372
16.7735,888.054176568985,113.41,0.185882,17,0.285167,5343,0.949961215258,446375,0.0,55.6274217385,-0.142467
16.7298,891.85205245018,113.05,0.137767,18,0.300841,5361,0.955174706876,448441,0.0,55.6715819625,-0.144649
16.7069,896.4042720794678,113.17,0.129143,19,0.313265,5380,0.960075370967,450559,0.0,55.656508407,-0.148414
16.6833,901.233638048172,112.06,0.140583,19,0.319943,5399,0.95872323215,452466,0.0,55.1367945484,-0.13752
