EpRewMean,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,loss_vf_loss,EpisodesSoFar,loss_ent,EpLenMean,TimeElapsed
1000.0,2,0.00259059667587,0.00725982,-0.0053811,0.0,347589,68.1829,1122,0.972414,1000.0,275.0089292526245
1000.0,2,0.00283467769623,0.00874961,-0.00598311,0.0,349589,68.8604,1124,0.980806,1000.0,276.62709975242615
1000.0,2,0.022675216198,0.0233188,-0.00578688,0.0,351589,68.0767,1126,0.978381,1000.0,278.2279431819916
1000.0,2,-0.0148352384567,0.00411985,-0.00486042,0.0,353589,69.1779,1128,0.978954,1000.0,279.8548250198364
1000.0,2,-0.00457203388214,0.0070876,-0.00419466,0.0,355589,69.345,1130,0.960976,1000.0,281.453191280365
1000.0,2,-0.00340163707733,0.00567578,-0.00413213,0.0,357589,69.2188,1132,0.963278,1000.0,283.0647351741791
1000.0,2,-0.00426435470581,0.00535768,-0.00354092,0.0,359589,69.0384,1134,0.980654,1000.0,284.6945888996124
1000.0,2,-0.0017671585083,0.00484623,-0.00590133,0.0,361589,68.8222,1136,0.974975,1000.0,286.2976770401001
1000.0,2,0.000395715236664,0.00645325,-0.00605133,0.0,363589,68.8221,1138,0.953075,1000.0,287.9535255432129
1000.0,3,-0.00555539131165,0.00732075,-0.00625842,0.0,366589,101.143,1141,0.953661,1000.0,289.5473053455353
1000.0,2,-0.00229167938232,0.00792093,-0.00507657,0.0,368589,67.7714,1143,0.967861,1000.0,291.18044543266296
1000.0,2,-0.00171649456024,0.010373,-0.00450796,0.0,370589,67.8072,1145,0.991185,1000.0,292.7887969017029
1000.0,2,-0.00480675697327,0.00648568,-0.0047697,0.0,372589,67.9256,1147,0.986345,1000.0,294.4066400527954
1000.0,2,-0.00178492069244,0.00969081,-0.00539039,0.0,374589,68.0004,1149,1.01007,1000.0,296.0165741443634
1000.0,2,-0.000908613204956,0.00931019,-0.00476198,0.0,376589,68.0635,1151,1.01592,1000.0,297.62473368644714
1000.0,2,-0.000394225120544,0.00378847,-0.0030677,0.0,378589,68.2076,1153,1.03552,1000.0,299.2319235801697
1000.0,2,-0.000653505325317,0.0053189,-0.00549916,0.0,380589,68.2507,1155,1.02602,1000.0,300.84586572647095
1000.0,2,-0.000400185585022,0.0090669,-0.00426245,0.0,382589,67.1788,1157,1.02021,1000.0,302.4543640613556
1000.0,2,-0.00645017623901,0.00856804,-0.00440891,0.0,384589,68.3256,1159,1.01642,1000.0,304.0718472003937
1000.0,2,0.000490725040436,0.00548305,-0.00577683,0.0,386589,68.2017,1161,1.02126,1000.0,305.6804585456848
1000.0,2,-0.00203168392181,0.00481957,-0.00712545,0.0,388589,68.4701,1163,1.03243,1000.0,307.28183102607727
1000.0,2,-0.000279307365417,0.00945631,-0.00638445,0.0,390589,68.5052,1165,1.04842,1000.0,308.89152908325195
1000.0,2,9.2625617981e-05,0.00494335,-0.00482934,0.0,392589,68.4864,1167,1.03811,1000.0,310.49997663497925
1000.0,2,-0.000363230705261,0.00783357,-0.00474578,0.0,394589,68.5601,1169,1.03021,1000.0,312.12497329711914
1000.0,2,-0.000318884849548,0.00416597,-0.00287536,0.0,396589,68.5663,1171,1.03136,1000.0,313.73434138298035
1000.0,2,0.00022828578949,0.00810945,-0.00626848,0.0,398589,68.3381,1173,1.0456,1000.0,315.36114478111267
992.35,3,0.0436850190163,0.00492046,-0.00910083,0.0,400824,70.4628,1176,1.02319,992.35,316.9686279296875
992.35,2,-0.0073014497757,0.0057185,-0.00351073,0.0,402824,68.2988,1178,1.03349,992.35,318.5936224460602
992.35,2,-0.0879333019257,0.00770874,-0.00798769,0.0,404824,69.136,1180,1.0413,992.35,320.2029936313629
989.85,2,0.0196177959442,0.00602445,-0.0104372,0.0,406574,26.3121,1182,1.02175,989.85,321.82798767089844
989.85,3,-0.0149660110474,0.00467082,-0.0063458,0.0,409574,101.532,1185,1.01723,989.85,323.43735814094543
989.85,2,0.000191390514374,0.00727961,-0.00535902,0.0,411574,68.4626,1187,1.01335,989.85,325.03110337257385
989.85,2,0.00324630737305,0.00710176,-0.00749254,0.0,413574,66.7846,1189,1.0138,989.85,326.65609884262085
989.85,2,0.0317412614822,0.00446824,-0.00450489,0.0,415574,62.4786,1191,1.03443,989.85,328.26547288894653
