loss_vf_loss,loss_ent,loss_pol_entpen,EpLenMean,ev_tdlam_before,EpisodesSoFar,loss_kl,EpThisIter,loss_pol_surr,TimeElapsed,TimestepsSoFar,EpRewMean
87.7086,0.698622,0.0,1000.0,0.183755338192,356,0.0306292,2,-0.0338169,302.41236758232117,356000,1002.96391082
90.7947,0.703797,0.0,1000.0,0.148876130581,358,0.0343785,2,-0.0365046,304.155889749527,358000,1006.11693512
87.2426,0.697426,0.0,1000.0,0.15191411972,360,0.0288015,2,-0.0356744,305.8734896183014,360000,1009.0531023
86.7096,0.685522,0.0,1000.0,0.161575973034,362,0.0306489,2,-0.0371574,307.62510800361633,362000,1012.1268745
86.3371,0.674021,0.0,1000.0,0.0689504146576,364,0.0358718,2,-0.0350783,309.3582682609558,364000,1014.39122057
86.8115,0.678213,0.0,1000.0,0.22056645155,366,0.036024,2,-0.0371567,311.1096613407135,366000,1017.55166583
92.2388,0.642761,0.0,1000.0,0.133845746517,368,0.0323642,2,-0.0402101,312.8339993953705,368000,1020.81903615
90.4732,0.625571,0.0,1000.0,0.0834116339684,370,0.0306398,2,-0.0364029,314.5780758857727,370000,1024.36067539
88.3977,0.628408,0.0,1000.0,0.115799188614,372,0.0345836,2,-0.0347943,316.31217861175537,372000,1027.27481135
92.9049,0.620296,0.0,1000.0,0.0962547063828,374,0.0313155,2,-0.035823,318.04541015625,374000,1031.01271056
90.3343,0.591419,0.0,1000.0,0.106055498123,376,0.0329044,2,-0.0356598,319.78119111061096,376000,1034.12827223
90.9446,0.566751,0.0,1000.0,0.123637318611,378,0.0326268,2,-0.0355016,321.51423597335815,378000,1037.89161611
88.6929,0.564829,0.0,1000.0,0.109046399593,380,0.0319438,2,-0.0349522,323.2347447872162,380000,1041.86589787
94.8973,0.557962,0.0,1000.0,0.134286165237,382,0.0226402,2,-0.0394595,324.96818137168884,382000,1045.45546162
131.9,0.533301,0.0,1000.0,0.0972133874893,385,0.0374027,3,-0.035209,326.6864230632782,385000,1051.19506535
89.39,0.525038,0.0,1000.0,0.110235869884,387,0.0363184,2,-0.033116,328.4219195842743,387000,1054.81954439
86.6188,0.52601,0.0,1000.0,0.100526154041,389,0.0412978,2,-0.0306566,330.139568567276,389000,1057.96359449
91.9035,0.531763,0.0,1000.0,0.123333394527,391,0.0351,2,-0.0360464,331.8738384246826,391000,1059.90732592
92.2917,0.528135,0.0,1000.0,0.115032017231,393,0.0273255,2,-0.0359902,333.6078543663025,393000,1063.1384923
95.9285,0.519254,0.0,1000.0,0.108227372169,395,0.0283052,2,-0.0403383,335.3442099094391,395000,1065.4947036
94.342,0.51183,0.0,1000.0,0.111454248428,397,0.0378039,2,-0.0299811,337.0773162841797,397000,1067.97981236
94.7419,0.500174,0.0,1000.0,0.103329122066,399,0.0256313,2,-0.0385046,338.8126788139343,399000,1070.65164345
91.2785,0.512855,0.0,1000.0,0.0734497904778,401,0.0306237,2,-0.0331738,340.5460615158081,401000,1073.62276772
94.2536,0.488091,0.0,1000.0,0.0917318463326,403,0.0487503,2,-0.0308217,342.28110790252686,403000,1075.5147086
98.1474,0.482372,0.0,1000.0,0.0593113899231,405,0.0398458,2,-0.0334887,344.03056740760803,405000,1078.07625307
94.2254,0.437096,0.0,1000.0,0.130074083805,407,0.0422886,2,-0.0352008,345.764591217041,407000,1079.86483691
94.6549,0.411787,0.0,1000.0,0.156874656677,409,0.0337842,2,-0.0368761,347.4991910457611,409000,1082.15596691
95.4838,0.417285,0.0,1000.0,0.116654455662,411,0.0342751,2,-0.0347076,349.2504503726959,411000,1083.82023618
93.9786,0.425618,0.0,1000.0,0.101635813713,413,0.0340954,2,-0.0354496,350.9989333152771,413000,1085.43618372
92.16,0.425534,0.0,1000.0,0.163095057011,415,0.0275583,2,-0.038965,352.83198285102844,415000,1087.01279826
94.5463,0.403116,0.0,1000.0,0.121671915054,417,0.0286882,2,-0.0366248,354.5769979953766,417000,1087.32636169
90.0163,0.391542,0.0,1000.0,0.157313942909,419,0.0305617,2,-0.0415146,356.29624009132385,419000,1086.62947266
95.1332,0.3476,0.0,1000.0,0.15865534544,421,0.0290968,2,-0.040394,358.04593205451965,421000,1087.26306405
95.1412,0.348448,0.0,1000.0,0.141320824623,423,0.0309959,2,-0.0371241,359.78093099594116,423000,1089.2898858
90.0698,0.359461,0.0,1000.0,0.0843730568886,425,0.0363991,2,-0.0316246,361.5159466266632,425000,1090.89874626
132.712,0.370119,0.0,1000.0,0.132636964321,428,0.0353915,3,-0.0374022,363.23504114151,428000,1093.8925242
94.4311,0.354998,0.0,1000.0,0.130846917629,430,0.039134,2,-0.0336507,364.98373579978943,430000,1095.57392159
99.3669,0.373506,0.0,1000.0,0.107643306255,432,0.0309513,2,-0.0336464,366.7177517414093,432000,1098.07881125
