loss_vf_loss,EpLenMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,loss_kl,EpRewMean,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,loss_ent,EpThisIter
67.8602,960.1,989,221.03109669685364,0.00545388460159,0.00547625,960.1,273648,-0.00467004,0.0,0.898344,2
68.3605,960.1,991,222.69212198257446,-0.00759625434875,0.00933823,960.1,275648,-0.00625164,0.0,0.898852,2
69.5627,970.49,993,224.350683927536,-0.0173186063766,0.00376817,970.49,277648,-0.00467133,0.0,0.887257,2
68.6148,979.5,995,226.0002737045288,-0.0270026922226,0.00823902,979.5,279648,-0.0042811,0.0,0.885251,2
68.3738,979.5,997,227.64080023765564,-0.00282895565033,0.00459892,979.5,281648,-0.00241685,0.0,0.875044,2
100.787,985.85,1000,229.28236293792725,-0.00527513027191,0.00710243,985.85,284648,-0.00589286,0.0,0.882427,3
61.0119,985.85,1002,230.9569914340973,0.0158693790436,0.00506964,985.85,286648,-0.00455668,0.0,0.891648,2
63.9572,985.85,1004,232.5984227657318,0.0241060853004,0.00338559,985.85,288648,-0.00352364,0.0,0.902258,2
67.941,985.85,1006,234.24980473518372,-0.00514769554138,0.00558309,985.85,290648,-0.00795769,0.0,0.887323,2
67.1651,985.85,1008,235.89042472839355,-0.0141201019287,0.0132788,985.85,292648,-0.00160723,0.0,0.87587,2
70.4163,985.85,1010,237.54666996002197,0.0613470077515,0.0100337,985.85,294648,-0.00673681,0.0,0.887379,2
67.1681,985.85,1012,239.18126106262207,-0.00176334381104,0.00411123,985.85,296648,-0.00412577,0.0,0.911966,2
68.6316,985.85,1014,240.84522700309753,-0.0137431621552,0.00426304,985.85,298648,-0.00538446,0.0,0.905966,2
50.76,985.85,1016,242.48489689826965,0.131295740604,0.00515389,985.85,300648,-0.00448418,0.0,0.910402,2
66.6317,985.85,1018,244.14398908615112,0.018691778183,0.00658197,985.85,302648,-0.00574391,0.0,0.878546,2
69.7819,985.85,1020,245.78098821640015,-0.0104746818542,0.00926531,985.85,304648,-0.0052735,0.0,0.86078,2
70.1223,985.85,1022,247.43723440170288,-0.047749876976,0.00808805,985.85,306648,-0.00452885,0.0,0.84715,2
66.0688,985.85,1024,249.06222891807556,0.00670605897903,0.0058718,985.85,308648,-0.00473935,0.0,0.837601,2
68.8552,985.85,1026,250.70284938812256,-0.0194187164307,0.00880694,985.85,310648,-0.00492785,0.0,0.838015,2
68.6199,985.85,1028,252.34346842765808,0.00281763076782,0.00615876,985.85,312648,-0.00608153,0.0,0.830866,2
68.6679,985.85,1030,253.99158000946045,-0.0102211236954,0.00592339,985.85,314648,-0.00417271,0.0,0.834173,2
66.7917,985.85,1032,255.6483941078186,0.0105764865875,0.00458556,985.85,316648,-0.00446428,0.0,0.836201,2
66.1183,985.85,1034,257.29105949401855,0.0352756977081,0.00438276,985.85,318648,-0.0047147,0.0,0.85228,2
67.9439,985.85,1036,258.93739104270935,0.0117895007133,0.00715286,985.85,320648,-0.00606591,0.0,0.86449,2
57.5065,985.85,1038,260.57801055908203,0.00766718387604,0.0106874,985.85,322648,-0.00559545,0.0,0.882476,2
59.0941,982.53,1041,262.23425555229187,0.267631292343,0.00666776,982.53,324860,-0.00868453,0.0,0.856531,3
74.2622,988.97,1044,263.890501499176,0.470847666264,0.00749563,988.97,327545,-0.00882243,0.0,0.880424,3
64.34,988.97,1046,265.5467474460602,0.0459862947464,0.00473767,988.97,329545,-0.00551064,0.0,0.861736,2
66.0732,988.97,1048,267.1717414855957,0.0660210847855,0.00451004,988.97,331545,-0.00747143,0.0,0.863855,2
66.9338,988.97,1050,268.82798647880554,-0.0136867761612,0.00355052,988.97,333545,-0.00449447,0.0,0.871486,2
67.1613,988.97,1052,270.4686062335968,0.00351697206497,0.00627544,988.97,335545,-0.00798849,0.0,0.864271,2
57.7592,988.97,1054,272.1263675689697,0.117681860924,0.00703615,988.97,337545,-0.00854925,0.0,0.881739,2
39.7903,988.36,1056,273.7664563655853,0.195220053196,0.00602318,988.36,339484,-0.00998808,0.0,0.881911,2
65.1734,988.36,1058,275.3903429508209,0.0584717392921,0.00444232,988.36,341484,-0.00469617,0.0,0.876595,2
70.3915,988.36,1060,277.0426731109619,-0.0270532369614,0.011257,988.36,343484,-0.00923138,0.0,0.890658,2
65.8103,988.36,1062,278.6878435611725,0.0481446385384,0.00415561,988.36,345484,-0.00570695,0.0,0.877236,2
64.4187,988.36,1064,280.3442029953003,0.0667877197266,0.00857927,988.36,347484,-0.00878271,0.0,0.864062,2
62.8011,988.36,1066,281.9772729873657,0.0937109589577,0.0140613,988.36,349484,-0.00735604,0.0,0.863216,2
69.7354,988.36,1068,283.6223728656769,0.0187160968781,0.0245337,988.36,351484,-0.00569079,0.0,0.846887,2
70.4899,988.36,1070,285.2661430835724,0.0347365736961,0.00812399,988.36,353484,-0.00642167,0.0,0.844954,2
66.4986,988.36,1072,286.9148678779602,-0.0180704593658,0.00441724,988.36,355484,-0.00712294,0.0,0.854786,2
70.9361,988.36,1074,288.554824590683,-0.0182528495789,0.00856576,988.36,357484,-0.00594858,0.0,0.824455,2
65.1964,988.36,1076,290.21093106269836,0.079298555851,0.00589113,988.36,359484,-0.00568411,0.0,0.825104,2
101.835,988.36,1079,291.8443069458008,-0.0511078834534,0.0114042,988.36,362484,-0.00689684,0.0,0.842211,3
62.0729,988.36,1081,293.5013208389282,-0.0408987998962,0.00644893,988.36,364484,-0.00458174,0.0,0.850681,2
66.4458,988.36,1083,295.15754795074463,-0.0316116809845,0.00560321,988.36,366484,-0.00537525,0.0,0.861866,2
64.0387,988.36,1085,296.805303812027,0.00877320766449,0.0129355,988.36,368484,-0.00890923,0.0,0.844685,2
67.0251,988.36,1087,298.430340051651,-0.00560736656189,0.00808465,988.36,370484,-0.00831552,0.0,0.838422,2
67.7445,988.36,1089,300.07850456237793,-0.0334767103195,0.0071824,988.36,372484,-0.00619291,0.0,0.846163,2
66.7065,988.36,1091,301.72085523605347,0.00324261188507,0.0111108,988.36,374484,-0.00604367,0.0,0.842493,2
67.3727,988.36,1093,303.3754577636719,0.0043460726738,0.00242168,988.36,376484,-0.00346498,0.0,0.843377,2
63.3284,988.36,1095,305.02422428131104,0.0374073386192,0.00241133,988.36,378484,-0.0054881,0.0,0.837633,2
64.0963,988.36,1097,306.6636691093445,0.00821381807327,0.00610629,988.36,380484,-0.00507506,0.0,0.844067,2
55.755,988.36,1099,308.3197798728943,0.167305469513,0.0122455,988.36,382484,-0.00653849,0.0,0.839521,2
62.9579,988.36,1101,309.95383286476135,0.137825548649,0.00814814,988.36,384484,-0.00463713,0.0,0.848925,2
66.8725,988.36,1103,311.6182019710541,0.0717761516571,0.00377167,988.36,386484,-0.00516345,0.0,0.84225,2
70.0182,988.36,1105,313.2591714859009,-0.026392698288,0.00677842,988.36,388484,-0.00369759,0.0,0.861746,2
68.9018,988.36,1107,314.92309069633484,-0.0236800909042,0.00967585,988.36,390484,-0.010634,0.0,0.857129,2
