EpisodesSoFar,loss_vf_loss,loss_ent,EpRewMean,ev_tdlam_before,EpThisIter,loss_kl,TimeElapsed,TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpLenMean
4505,0.180848,-2.1783,-8.64934085406,0.902475908399,41,0.0130072,192.84368658065796,225250,-0.0203906,0.0,50.0
4546,0.178374,-2.18797,-8.87117585893,0.908241517842,41,0.0160386,194.58048224449158,227300,-0.0270534,0.0,50.0
4587,0.166726,-2.20178,-8.6359430882,0.887475028634,41,0.0273502,196.32754492759705,229350,-0.0146324,0.0,50.0
4628,0.139137,-2.23857,-8.2563974753,0.918729767203,41,0.0179609,198.06223440170288,231400,-0.0190444,0.0,50.0
4669,0.149345,-2.24548,-8.35699489573,0.89737187326,41,0.0193541,199.81524443626404,233450,-0.025519,0.0,50.0
4710,0.175447,-2.24397,-8.75551000002,0.922188833356,41,0.0167471,201.56304049491882,235500,-0.0203628,0.0,50.0
4751,0.175206,-2.27617,-8.67254435203,0.927238747478,41,0.0283401,203.32644534111023,237550,-0.00396492,0.0,50.0
4792,0.275539,-2.29123,-8.95882932248,0.851459443569,41,0.0236541,205.06218004226685,239600,-0.0215453,0.0,50.0
4833,0.174953,-2.30228,-8.8188038892,0.891809046268,41,0.0150739,206.81200742721558,241650,-0.0231477,0.0,50.0
4874,0.243067,-2.32145,-8.15837116557,0.869837626815,41,0.0103472,208.54657459259033,243700,-0.0168981,0.0,50.0
4915,0.256032,-2.33222,-8.13844677876,0.80243563652,41,0.0299019,210.304696559906,245750,-0.0110041,0.0,50.0
4956,0.145274,-2.34777,-7.91398381989,0.898299008608,41,0.0218813,212.13263607025146,247800,-0.0153753,0.0,50.0
4997,0.145863,-2.37985,-7.37280883782,0.897216066718,41,0.0152567,213.9510314464569,249850,-0.0243564,0.0,50.0
5038,0.251503,-2.42196,-7.13616725833,0.836464300752,41,0.0579416,215.681334733963,251900,-0.00205856,0.0,50.0
5079,0.214373,-2.43911,-7.22538549958,0.865572154522,41,0.0271011,217.43461179733276,253950,-0.0146395,0.0,50.0
5120,0.126241,-2.4577,-7.28830680014,0.88418520242,41,0.0162888,219.19031310081482,256000,-0.0217776,0.0,50.0
5160,0.145547,-2.45396,-7.25547222126,0.859045282006,40,0.0212845,220.92980456352234,258000,-0.0185891,0.0,50.0
5201,0.204077,-2.47842,-7.52591020494,0.879400156438,41,0.0240242,222.6716296672821,260050,-0.0179355,0.0,50.0
5242,0.200847,-2.5042,-7.66665805004,0.903262466192,41,0.0166827,224.4297432899475,262100,-0.0192522,0.0,50.0
5283,0.144055,-2.51282,-7.60318320506,0.889333970845,41,0.0196431,226.1630721092224,264150,-0.011326,0.0,50.0
5324,0.137214,-2.53193,-7.27958247789,0.875355184078,41,0.0202392,227.9135205745697,266200,-0.0186887,0.0,50.0
5365,0.103337,-2.5498,-6.7173245061,0.80637486279,41,0.031138,229.66433787345886,268250,-0.0144528,0.0,50.0
5406,0.103344,-2.55143,-6.7233303222,0.907242596149,41,0.0279369,231.4091441631317,270300,-0.0199373,0.0,50.0
5447,0.0944588,-2.5539,-6.50171482664,0.901098884642,41,0.0222014,233.1799349784851,272350,-0.0176033,0.0,50.0
5488,0.178603,-2.56863,-6.70934974842,0.882099024951,41,0.0304488,234.92119240760803,274400,-0.000970005,0.0,50.0
5529,0.0956289,-2.59382,-6.66594794775,0.879639349878,41,0.0215469,236.65535354614258,276450,-0.0218825,0.0,50.0
5570,0.233299,-2.60712,-6.94564710326,0.891703121364,41,0.0236333,238.39683032035828,278500,-0.00361349,0.0,50.0
5611,0.204735,-2.6031,-7.1816316207,0.884953580797,41,0.024612,240.1467730998993,280550,-0.0100827,0.0,50.0
5652,0.125161,-2.6147,-7.03576774642,0.913552239537,41,0.0338279,241.88254523277283,282600,-0.015683,0.0,50.0
5693,0.193082,-2.62502,-6.81413537473,0.898594878614,41,0.0231765,243.61732816696167,284650,-0.0100651,0.0,50.0
5734,0.130505,-2.66228,-6.60317706846,0.918047092855,41,0.0331111,245.36211156845093,286700,-0.00952509,0.0,50.0
5775,0.104814,-2.71403,-6.60276514918,0.929885394871,41,0.0240101,247.11722683906555,288750,-0.0161303,0.0,50.0
5816,0.118562,-2.70502,-7.12916584799,0.895657993853,41,0.0257681,248.85178399085999,290800,-0.000854168,0.0,50.0
5857,0.0966093,-2.7262,-7.22134229053,0.945152804255,41,0.0174172,250.57747864723206,292850,-0.019208,0.0,50.0
5898,0.111472,-2.75031,-6.97394151845,0.935894206166,41,0.0190004,252.32053995132446,294900,-0.0212007,0.0,50.0
5939,0.173772,-2.76032,-6.95443306446,0.916982352734,41,0.0222166,254.06238293647766,296950,-0.00392941,0.0,50.0
5980,0.146507,-2.79398,-6.62796323881,0.915097013116,41,0.0243599,255.79901552200317,299000,-0.0148241,0.0,50.0
6021,0.117132,-2.78946,-6.65681486147,0.910296313465,41,0.0330984,257.5381143093109,301050,-0.01717,0.0,50.0
6062,0.148624,-2.79192,-6.53997804177,0.901720277965,41,0.0273394,259.280366897583,303100,-0.00229226,0.0,50.0
6103,0.108922,-2.78478,-6.44567993976,0.9285376966,41,0.0144077,261.03121876716614,305150,-0.0161344,0.0,50.0
6144,0.0701569,-2.79495,-6.2271465105,0.925226576626,41,0.025329,262.76855087280273,307200,-0.0144255,0.0,50.0
6184,0.0874567,-2.80883,-6.29662540578,0.93550760299,40,0.0318367,264.5382390022278,309200,-0.00869241,0.0,50.0
6225,0.138206,-2.8234,-6.4245529882,0.885961890221,41,0.0171344,266.267884016037,311250,-0.0223444,0.0,50.0
6266,0.097524,-2.85583,-6.1709595716,0.895713143051,41,0.0373304,268.0232398509979,313300,-0.0141641,0.0,50.0
6307,0.0811675,-2.86648,-6.19727485762,0.914968952537,41,0.031558,269.7740786075592,315350,-0.0134223,0.0,50.0
6348,0.106295,-2.87218,-6.32109997486,0.942453023046,41,0.0320969,271.5306074619293,317400,-0.000949303,0.0,50.0
6389,0.0987464,-2.89754,-6.34784488316,0.92670237273,41,0.0330213,273.2731246948242,319450,-0.00713853,0.0,50.0
6430,0.139159,-2.90835,-6.10226103294,0.915150478482,41,0.0145298,275.0326645374298,321500,-0.0112114,0.0,50.0
6471,0.0999584,-2.92258,-6.14384985584,0.908310800791,41,0.0198358,276.76602244377136,323550,-0.010763,0.0,50.0
6512,0.0798754,-2.9258,-6.09899383817,0.931078702211,41,0.0242458,278.53707003593445,325600,-0.015821,0.0,50.0
6553,0.142499,-2.94051,-6.28449149508,0.909700043499,41,0.0284221,280.28116846084595,327650,-0.000765786,0.0,50.0
6594,0.0820874,-2.95618,-5.94478832941,0.942443910986,41,0.023694,282.0334258079529,329700,-0.0110866,0.0,50.0
6635,0.0834476,-2.97525,-6.18228162245,0.935000658035,41,0.0183404,283.7736089229584,331750,-0.0195025,0.0,50.0
6676,0.0798219,-2.9986,-5.81153731135,0.91670678556,41,0.0142763,285.5165331363678,333800,-0.00994475,0.0,50.0
6717,0.108986,-2.98795,-6.03870932165,0.912694476545,41,0.0237324,287.25899600982666,335850,-0.014198,0.0,50.0
6758,0.0721442,-2.9929,-6.13665239461,0.932398684323,41,0.0308034,288.9999077320099,337900,-0.0129148,0.0,50.0
6799,0.067967,-3.01817,-6.2209829067,0.94487901032,41,0.0191672,290.7376956939697,339950,-0.0151218,0.0,50.0
6840,0.0695564,-3.05184,-5.99295124114,0.916861243546,41,0.0244042,292.48373341560364,342000,-0.013733,0.0,50.0
6881,0.132587,-3.08342,-5.87584327387,0.916395589709,41,0.0187197,294.23381543159485,344050,-0.00706747,0.0,50.0
6922,0.101873,-3.10729,-5.78330658508,0.935797005892,41,0.0301647,295.9839928150177,346100,-0.00413427,0.0,50.0
6963,0.0682071,-3.13395,-5.9042464561,0.920307837427,41,0.031704,297.7184724807739,348150,-0.0174207,0.0,50.0
7004,0.0480459,-3.13217,-5.88903006101,0.94215079397,41,0.0194554,299.453013420105,350200,-0.0137891,0.0,50.0
7045,0.0724784,-3.16706,-6.03818741412,0.944086112082,41,0.0302109,301.2021758556366,352250,-0.0178987,0.0,50.0
7086,0.0662674,-3.1704,-6.27679579681,0.951511289924,41,0.0304271,302.9280512332916,354300,-0.00339919,0.0,50.0
7127,0.116286,-3.1899,-6.3165660467,0.917768098414,41,0.0294208,304.6637375354767,356350,-0.00128347,0.0,50.0
7168,0.0819506,-3.18543,-6.27682158951,0.937243312597,41,0.0271586,306.40584993362427,358400,-0.0151707,0.0,50.0
7208,0.111265,-3.22561,-6.37516128263,0.878619045019,40,0.0532861,308.1241030693054,360400,-0.00827495,0.0,50.0
7249,0.127533,-3.22427,-6.35702232516,0.913800418377,41,0.0294568,309.85855436325073,362450,-0.0151731,0.0,50.0
7290,0.0932442,-3.22954,-6.21571751402,0.906380698085,41,0.0189754,311.59309220314026,364500,-0.0147017,0.0,50.0
7331,0.0695806,-3.22473,-6.19754428029,0.93181540072,41,0.0188415,313.3247985839844,366550,-0.0118155,0.0,50.0
7372,0.0628091,-3.24557,-5.96283588082,0.938951570541,41,0.0313827,315.07739424705505,368600,-0.00790131,0.0,50.0
7413,0.0873366,-3.25708,-6.07191373081,0.926503092051,41,0.0328834,316.8115041255951,370650,-0.0141621,0.0,50.0
7454,0.0554259,-3.26513,-6.3349050203,0.936756290495,41,0.0205095,318.56199502944946,372700,-0.0104602,0.0,50.0
7495,0.0790986,-3.28832,-6.12776174796,0.92549584806,41,0.0212158,320.3045001029968,374750,-0.0121347,0.0,50.0
7536,0.0715338,-3.30499,-5.67044516086,0.920948885381,41,0.0189572,322.0386772155762,376800,-0.0144819,0.0,50.0
7577,0.0725223,-3.32302,-5.75747600864,0.923710487783,41,0.0225734,323.77213621139526,378850,-0.0139052,0.0,50.0
7618,0.0634883,-3.33356,-5.7937625694,0.930678032339,41,0.0418362,325.51518869400024,380900,-0.00169474,0.0,50.0
7659,0.0558887,-3.31825,-6.24481988979,0.906958401203,41,0.036,327.2492756843567,382950,-0.0183639,0.0,50.0
7700,0.0837663,-3.33686,-6.34404069957,0.897266693413,41,0.0295858,329.0304718017578,385000,-0.0274705,0.0,50.0
7741,0.0699118,-3.35108,-6.11148695713,0.90072311461,41,0.0428048,330.74902868270874,387050,0.0036566,0.0,50.0
