EpisodesSoFar,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_pol_entpen,loss_vf_loss,EpRewMean,EpThisIter,ev_tdlam_before,EpLenMean,loss_ent
2553,423882,0.0205154,427.7371153831482,-0.0340363,0.0,4.35929,1100.98329803,7,0.998507873621,322.36,1.31378
2560,425696,0.0206932,429.78471660614014,-0.0362878,0.0,10.6478,1091.58417559,7,0.995745573658,319.42,1.29695
2567,427972,0.0186031,431.8386812210083,-0.0387159,0.0,4.58999,1080.54712664,7,0.998417830444,316.16,1.26562
2572,429940,0.0252186,433.8856167793274,-0.0341277,0.0,6.10281,1096.24155021,5,0.996719965944,321.18,1.22699
2577,431827,0.0196646,435.9169707298279,-0.0407547,0.0,3.0456,1098.2415322,5,0.998391382862,320.78,1.22243
2583,434039,0.0182128,437.96388483047485,-0.0306601,0.0,5.76135,1106.50686049,6,0.997942789225,322.95,1.2176
2590,436193,0.0212405,440.0109031200409,-0.0416649,0.0,3.50877,1109.01636666,7,0.998866496608,323.65,1.21668
2595,438041,0.0197139,442.0891304016113,-0.0420753,0.0,4.09197,1127.80660543,5,0.998404531856,328.92,1.23988
2602,440234,0.023549,444.08937430381775,-0.0340324,0.0,4.23614,1115.54794598,7,0.998929657624,324.91,1.22631
2606,442093,0.0259639,446.1207263469696,-0.0209927,0.0,388.878,1147.21806656,4,0.876828856766,333.87,1.23605
2612,444269,0.0239059,448.1702792644501,-0.0350883,0.0,4.86889,1152.14557401,6,0.997793155955,334.47,1.25435
2617,445768,0.0254004,450.23666310310364,-0.0312164,0.0,4.66152,1151.50016966,5,0.997412741417,333.95,1.26074
2625,448436,0.0252659,452.2844829559326,-0.038231,0.0,3.86991,1159.2807806,8,0.998029531678,335.15,1.25255
2631,450442,0.0287675,454.3469171524048,-0.0349034,0.0,3.3419,1162.90186487,6,0.998482762137,335.96,1.23822
2638,452225,0.0220788,456.3742151260376,-0.0331789,0.0,7.0364,1147.81435409,7,0.997739072191,330.45,1.21657
2644,454587,0.0187293,458.4169602394104,-0.0397586,0.0,4.12742,1166.65825525,6,0.998516335618,335.67,1.22796
2651,456465,0.024192,460.46406602859497,-0.0411513,0.0,5.8333,1154.63135945,7,0.997878659749,332.06,1.20874
2656,458594,0.0198324,462.51219177246094,-0.0374027,0.0,4.53025,1176.43567191,5,0.998482903,338.42,1.21152
