loss_ent,TimeElapsed,TimestepsSoFar,EpRewMean,loss_pol_entpen,loss_pol_surr,loss_vf_loss,loss_kl,ev_tdlam_before,EpLenMean,EpThisIter,EpisodesSoFar
3.26909,415.2535057067871,411309,1132.37641855,0.0,-0.0619168,100.527,0.0300843,0.957782663405,349.83,5,2279
3.26775,417.3099699020386,413551,1153.51850474,0.0,-0.0671891,95.3964,0.0334179,0.952262841165,356.43,6,2285
3.23267,419.3868477344513,415527,1166.6954676,0.0,-0.0647298,68.2471,0.035948,0.948324318975,359.98,5,2290
3.21296,421.4263803958893,417439,1196.04589536,0.0,-0.0631479,105.318,0.0276047,0.949179355055,367.2,4,2294
3.19255,423.4897208213806,419584,1213.61949765,0.0,-0.0643589,62.409,0.0326483,0.971922086552,372.62,5,2299
3.19143,425.5439918041229,421678,1227.08926404,0.0,-0.0573629,122.617,0.0395156,0.948241446167,376.64,5,2304
3.17937,427.59036350250244,423574,1210.80369277,0.0,-0.058041,93.6762,0.0333484,0.952882543206,371.61,6,2310
3.15481,429.63398122787476,425788,1236.24266125,0.0,-0.0600789,96.143,0.0316966,0.95082808286,378.25,5,2315
3.1023,431.68691754341125,427865,1236.91579956,0.0,-0.067176,71.6523,0.0254119,0.964368067682,378.42,6,2321
3.08337,433.75527930259705,430016,1227.05977156,0.0,-0.0658088,125.956,0.0311736,0.95101505518,375.1,7,2328
3.05259,435.793940782547,432068,1239.74787609,0.0,-0.0606749,83.804,0.0301333,0.943749286234,378.59,5,2333
3.02607,437.8720209598541,434128,1251.03933371,0.0,-0.0582381,103.447,0.0273783,0.949648357928,381.03,5,2338
3.00984,439.92079520225525,435906,1252.30729547,0.0,-0.0588203,67.884,0.0297916,0.959644373506,382.55,4,2342
3.00876,441.9851441383362,438254,1257.84528833,0.0,-0.0545725,64.6813,0.0311015,0.971196731552,385.29,6,2348
2.99848,444.0361018180847,440098,1260.94025279,0.0,-0.0610323,58.1585,0.0297209,0.960097752512,386.76,5,2353
2.96749,446.09539008140564,442043,1272.02141481,0.0,-0.0582766,76.4296,0.0305556,0.957650724798,390.24,4,2357
2.96803,448.14412093162537,444013,1267.53105796,0.0,-0.0625086,64.9829,0.0324664,0.962195977569,388.33,6,2363
2.91762,450.2175772190094,446343,1283.80271845,0.0,-0.0607603,72.3533,0.034087,0.96643557027,392.0,6,2369
2.88954,452.2497112751007,448304,1249.07135936,0.0,-0.0598016,73.4803,0.0307198,0.97046241723,383.29,6,2375
2.86797,454.3107988834381,450404,1256.44357902,0.0,-0.0561539,69.9294,0.0329706,0.961881693453,383.97,6,2381
2.82938,456.3565938472748,452278,1239.04187765,0.0,-0.051366,90.871,0.0321061,0.970918549225,377.55,6,2387
2.77538,458.4056944847107,454426,1222.1130083,0.0,-0.053248,59.2179,0.0318365,0.969507124275,373.18,6,2393
2.76156,460.472989320755,456599,1216.66396362,0.0,-0.0592925,82.3964,0.0282241,0.966581586748,370.15,6,2399
2.76335,462.5203003883362,458631,1202.70635223,0.0,-0.05335,96.5018,0.0285466,0.959457762539,365.49,6,2405
2.72581,464.58356761932373,460655,1226.52545577,0.0,-0.0401275,373.92,0.029902,0.851893648505,373.02,4,2409
