TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,EpRewMean,loss_pol_surr,loss_pol_entpen,EpThisIter,loss_ent,loss_kl,TimeElapsed,EpLenMean,loss_vf_loss
332827,-0.0135154724121,1057,944.26,-0.00236477,0.0,2,0.993074,0.00452625,263.0861999988556,944.26,69.2792
335827,-0.0199965238571,1060,944.26,-0.00656191,0.0,3,0.999077,0.00827259,264.69480180740356,944.26,79.8633
337827,-0.00957822799683,1062,944.26,-0.00932077,0.0,2,0.982344,0.00815343,266.3138744831085,944.26,67.8576
339827,0.00654029846191,1064,944.26,-0.00783717,0.0,2,0.995488,0.00871054,267.91795802116394,944.26,68.1628
341827,-0.0633918046951,1066,944.26,-0.00746006,0.0,2,1.0189,0.00666165,269.5198791027069,944.26,65.7324
343827,-0.000179886817932,1068,944.26,-0.00493171,0.0,2,1.0021,0.00423311,271.13807249069214,944.26,68.9256
345827,0.0227122306824,1070,944.26,-0.0039436,0.0,2,1.01969,0.00527873,272.74821615219116,944.26,66.6843
347827,-0.0102603435516,1072,944.26,-0.00644431,0.0,2,1.02074,0.00730152,274.35643672943115,944.26,67.9546
349827,-0.0152068138123,1074,944.26,-0.00486156,0.0,2,1.00032,0.00394367,275.9729619026184,944.26,68.1031
351827,-0.000798940658569,1076,951.47,-0.00689527,0.0,2,1.01846,0.00602696,277.5831210613251,951.47,68.0601
353827,0.013765335083,1078,951.47,-0.0106015,0.0,2,1.01526,0.014354,279.2003684043884,951.47,67.7517
355827,0.0148462057114,1080,954.07,-0.0018175,0.0,2,1.02061,0.0167186,280.8107280731201,954.07,68.6722
357827,0.00997114181519,1082,954.07,-0.00483904,0.0,2,1.03107,0.0089,282.41796374320984,954.07,68.9107
359827,-0.0277483463287,1084,954.07,-0.00927365,0.0,2,1.03827,0.00974027,284.0429575443268,954.07,68.6404
361827,-0.0027996301651,1086,954.07,-0.00239949,0.0,2,1.06065,0.0032135,285.66795325279236,954.07,69.0586
363827,0.000738501548767,1088,954.07,-0.00519462,0.0,2,1.06676,0.00703279,287.3040060997009,954.07,68.921
365827,0.00853699445724,1090,954.07,-0.00429538,0.0,2,1.06016,0.00646447,288.8994207382202,954.07,68.5687
367827,-0.0101512670517,1092,954.07,-0.00507365,0.0,2,1.04996,0.00868736,290.5136134624481,954.07,68.7319
369827,0.00904667377472,1094,954.07,-0.0071341,0.0,2,1.06759,0.00843101,292.11446166038513,954.07,68.1799
371827,-0.0316842794418,1096,959.96,-0.00397878,0.0,2,1.08004,0.00473736,293.7236032485962,959.96,68.1339
373827,-0.0140482187271,1098,959.96,-0.00702654,0.0,2,1.09298,0.0068345,295.3556230068207,959.96,67.7236
376827,-0.012530207634,1101,959.96,-0.00715246,0.0,3,1.08462,0.00352203,296.9589145183563,959.96,100.364
378827,-0.0215827226639,1103,966.49,-0.00950268,0.0,2,1.10889,0.00923667,298.5584006309509,966.49,67.0843
380827,0.00163161754608,1105,966.49,-0.00657087,0.0,2,1.11045,0.00595767,300.16777062416077,966.49,68.2002
382827,0.0118686556816,1107,966.49,-0.00619415,0.0,2,1.10347,0.00566021,301.77714014053345,966.49,64.7304
384827,0.017549932003,1109,966.49,-0.00384744,0.0,2,1.10674,0.00292806,303.38651037216187,966.49,67.7797
386827,-0.0242546796799,1111,966.49,-0.0059387,0.0,2,1.09345,0.0116946,304.99588108062744,966.49,68.9821
388827,0.0253337025642,1113,966.49,-0.00725344,0.0,2,1.0766,0.00796777,306.6052508354187,966.49,64.4596
390827,-0.0070344209671,1115,966.49,-0.00480251,0.0,2,1.06454,0.00274647,308.2302463054657,966.49,67.933
392827,-0.0155160427094,1117,966.49,-0.00729159,0.0,2,1.05611,0.0073464,309.83961606025696,966.49,69.5241
394827,-0.0262485742569,1119,966.49,-0.00648222,0.0,2,1.07487,0.00750883,311.4489872455597,966.49,68.361
396827,-0.0124920606613,1121,966.49,-0.00763427,0.0,2,1.06378,0.00605242,313.0271067619324,966.49,68.477
398827,0.00723940134048,1123,966.49,-0.00469239,0.0,2,1.0746,0.00593554,314.65210223197937,966.49,67.7746
400827,-0.00759410858154,1125,966.49,-0.00669978,0.0,2,1.07965,0.00597057,316.2614722251892,966.49,68.9603
402827,-0.00806188583374,1127,966.49,-0.00639779,0.0,2,1.07525,0.0138552,317.87115812301636,966.49,68.7511
404827,0.00689226388931,1129,966.49,-0.00518821,0.0,2,1.08076,0.00999024,319.49615240097046,966.49,68.3783
406862,0.0133920907974,1132,961.44,-0.00538402,0.0,3,1.07785,0.00256334,321.10552430152893,961.44,95.1538
408862,-0.00871992111206,1134,963.03,-0.00612351,0.0,2,1.09712,0.0116596,322.73051953315735,963.03,68.1464
410862,-0.0548678636551,1136,974.58,-0.00866066,0.0,2,1.11458,0.00664213,324.33963084220886,974.58,66.0123
413643,0.00468653440475,1139,972.39,-0.00458019,0.0,3,1.10872,0.00365628,325.94900131225586,972.39,95.0049
415643,-0.00695979595184,1141,972.39,-0.00361958,0.0,2,1.11411,0.00689301,327.5583713054657,972.39,67.6697
417643,0.00781863927841,1143,972.39,-0.00334522,0.0,2,1.11126,0.00432171,329.16774320602417,972.39,67.1926
419643,0.0411595702171,1145,972.39,-0.00628313,0.0,2,1.1259,0.00692188,330.7741985321045,972.39,65.1981
421643,0.00294291973114,1147,972.39,-0.00760206,0.0,2,1.10686,0.00624481,332.39062213897705,972.39,67.9095
423643,-0.00377976894379,1149,972.39,-0.00484142,0.0,2,1.08947,0.0214603,334.00741744041443,972.39,69.2555
425643,0.0235632658005,1151,988.16,-0.00669303,0.0,2,1.1027,0.0100897,335.6212577819824,988.16,67.9016
427643,-0.0383689403534,1153,988.16,-0.00457939,0.0,2,1.09842,0.00677026,337.2462520599365,988.16,68.9739
429643,-0.00334751605988,1155,988.16,-0.00397563,0.0,2,1.10627,0.00380044,338.8556230068207,988.16,69.2723
431643,-0.0092362165451,1157,988.16,-0.00433056,0.0,2,1.10733,0.00517103,340.4806170463562,988.16,68.9439
