EpRewMean,EpisodesSoFar,loss_vf_loss,ev_tdlam_before,loss_ent,loss_pol_surr,EpLenMean,loss_pol_entpen,EpThisIter,TimestepsSoFar,loss_kl,TimeElapsed
954.82,1039,86.0157,-0.0535678863525,0.850777,-0.00498349,954.82,0.0,3,329686,0.00658745,264.53141736984253
954.82,1041,68.2056,-0.00974118709564,0.848528,-0.00563489,954.82,0.0,2,331686,0.0150386,266.19432187080383
954.82,1043,67.7423,0.00472301244736,0.851442,-0.00449571,954.82,0.0,2,333686,0.00667355,267.82947421073914
954.82,1045,57.3214,0.0112366676331,0.857202,-0.00634823,954.82,0.0,2,335686,0.00605327,269.469126701355
954.82,1047,68.5142,-0.0144766569138,0.838842,-0.00662502,954.82,0.0,2,337686,0.00646518,271.1095230579376
954.82,1049,68.1916,-0.00130391120911,0.846705,-0.00471752,954.82,0.0,2,339686,0.00634584,272.75010776519775
954.82,1051,68.084,0.00313103199005,0.837689,-0.00310035,954.82,0.0,2,341686,0.00295363,274.3904962539673
954.82,1053,66.7809,-0.00296378135681,0.856472,-0.00629144,954.82,0.0,2,343686,0.00782986,276.0466523170471
954.82,1055,67.7197,-0.00241088867188,0.859985,-0.00332676,954.82,0.0,2,345686,0.00421044,277.6716878414154
954.82,1057,68.367,-0.0179553031921,0.856083,-0.00560229,954.82,0.0,2,347686,0.00668583,279.31236124038696
954.82,1059,63.4366,0.00670170783997,0.858261,-0.00372328,954.82,0.0,2,349686,0.00483771,280.9535541534424
954.82,1061,67.8184,0.0185940861702,0.849104,-0.00247082,954.82,0.0,2,351686,0.00388042,282.5784375667572
954.82,1063,67.34,0.0200501084328,0.850235,-0.00263347,954.82,0.0,2,353686,0.0031884,284.23471760749817
954.82,1065,67.1722,0.0279175639153,0.83688,-0.00239622,954.82,0.0,2,355686,0.00825832,285.8753283023834
954.82,1067,67.3059,0.00343042612076,0.843225,-0.00618359,954.82,0.0,2,357686,0.00922148,287.51558780670166
954.82,1069,67.9628,-0.0117365121841,0.838109,-0.00558084,954.82,0.0,2,359686,0.00648035,289.1558063030243
954.82,1071,68.6009,-0.0075775384903,0.834868,-0.00558643,954.82,0.0,2,361686,0.00921807,290.81235003471375
954.82,1073,68.5937,-0.00204706192017,0.837187,-0.00579598,954.82,0.0,2,363686,0.00661758,292.4371726512909
954.82,1075,68.1714,0.0100029110909,0.824327,-0.00428826,954.82,0.0,2,365686,0.00358002,294.09075570106506
954.82,1077,68.2169,-0.00481677055359,0.83401,-0.00671931,954.82,0.0,2,367686,0.00661876,295.71894907951355
954.82,1080,100.807,0.00362026691437,0.836065,-0.00440383,954.82,0.0,3,370686,0.00695594,297.3595612049103
954.82,1082,67.0504,0.00350779294968,0.846939,-0.00508467,954.82,0.0,2,372686,0.0121992,299.000821352005
954.82,1084,62.8537,0.00302797555923,0.864721,-0.00408202,954.82,0.0,2,374686,0.00635625,300.64861154556274
958.05,1086,64.6749,0.00543558597565,0.846727,-0.00681451,958.05,0.0,2,376686,0.00547307,302.2812523841858
974.21,1088,67.9162,0.00804907083511,0.833566,-0.0064654,974.21,0.0,2,378686,0.00840125,303.92152881622314
983.27,1090,68.8096,-0.0114096403122,0.831414,-0.00411479,983.27,0.0,2,380686,0.00583898,305.5466573238373
992.92,1092,67.9813,0.00632244348526,0.82411,-0.00673223,992.92,0.0,2,382686,0.00775288,307.20780634880066
992.92,1094,67.36,0.023864865303,0.819567,-0.00686567,992.92,0.0,2,384686,0.00784382,308.85970425605774
992.92,1096,66.9764,0.0129603743553,0.818296,-0.00288368,992.92,0.0,2,386686,0.00834291,310.4999988079071
992.92,1098,66.481,0.039465546608,0.83165,-0.00648483,992.92,0.0,2,388686,0.00744591,312.140429019928
992.92,1100,63.8745,0.0531092882156,0.850642,-0.00666714,992.92,0.0,2,390686,0.00590165,313.78089118003845
992.92,1102,63.9113,0.0611771941185,0.832155,-0.00753301,992.92,0.0,2,392686,0.0119401,315.4381287097931
992.92,1104,63.8784,0.111572742462,0.83149,-0.00763589,992.92,0.0,2,394686,0.00949838,317.0622339248657
1000.0,1106,53.1817,0.223288476467,0.842508,-0.00563139,1000.0,0.0,2,396686,0.00549787,318.71835255622864
1000.0,1108,49.341,0.345170617104,0.835972,-0.0084005,1000.0,0.0,2,398686,0.00453489,320.3441331386566
1000.0,1110,45.8389,0.290887653828,0.831987,-0.00457224,1000.0,0.0,2,400686,0.00413396,322.0003659725189
1000.0,1112,74.2484,-0.00414633750916,0.851597,-0.00375946,1000.0,0.0,2,402686,0.00940023,323.6256945133209
1000.0,1114,67.4455,0.160115599632,0.870218,-0.00533775,1000.0,0.0,2,404686,0.00383327,325.2820019721985
1000.0,1116,62.71,0.0329189896584,0.875831,-0.00354395,1000.0,0.0,2,406686,0.00326197,326.9223864078522
1000.0,1118,39.8968,0.727491557598,0.886032,-0.00864439,1000.0,0.0,2,408686,0.0123977,328.5627429485321
1000.0,1120,47.4811,0.504945099354,0.894977,-0.0057776,1000.0,0.0,2,410686,0.0248659,330.20311284065247
