loss_pol_surr,loss_kl,loss_ent,EpThisIter,TimeElapsed,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_pol_entpen,EpRewMean,EpisodesSoFar,TimestepsSoFar
-0.0355623,0.0281,0.595465,2,372.26636838912964,1000.0,0.0479929447174,84.9994,0.0,1164.49588675,423,423000
-0.0367354,0.0262351,0.546534,2,374.04756259918213,1000.0,0.0697939991951,87.3282,0.0,1162.85418683,425,425000
-0.056039,0.0321803,0.559944,3,375.8601677417755,1000.0,0.712384104729,119.322,0.0,1150.43969141,428,428000
-0.0392365,0.0300353,0.539603,2,377.6571316719055,1000.0,0.0352336168289,83.2824,0.0,1149.04927408,430,430000
-0.0393214,0.0226115,0.539126,2,379.4536671638489,1000.0,0.131850063801,89.038,0.0,1148.14903282,432,432000
-0.0388318,0.0300012,0.476415,2,381.2346968650818,1000.0,0.0739548802376,90.5826,0.0,1147.89279645,434,434000
-0.0394323,0.0333736,0.445465,2,383.03192710876465,1000.0,0.0835334658623,86.2989,0.0,1147.02795051,436,436000
-0.0269928,0.0418959,0.411702,2,384.81337428092957,1000.0,0.107809364796,92.5021,0.0,1146.98266383,438,438000
-0.0354364,0.0359884,0.40394,2,386.62548303604126,1000.0,0.062388241291,92.6816,0.0,1146.4716315,440,440000
-0.037458,0.0243328,0.377872,2,388.4064438343048,1000.0,0.0773469209671,93.8583,0.0,1146.16524156,442,442000
-0.0411332,0.0264666,0.354726,2,390.2034864425659,1000.0,0.0767339468002,95.3915,0.0,1145.15166271,444,444000
-0.0347995,0.0294949,0.348021,2,392.0003499984741,1000.0,0.0393062829971,94.5952,0.0,1146.09212295,446,446000
-0.0467785,0.0308474,0.331986,2,393.79723048210144,1000.0,0.544637054205,98.3254,0.0,1145.93852215,448,448000
-0.0487953,0.0251415,0.352882,2,395.59563875198364,1000.0,0.846427738667,103.747,0.0,1143.90270574,450,450000
-0.0430148,0.0275297,0.306267,2,397.39165139198303,1000.0,0.571070104837,103.78,0.0,1133.43159366,452,452000
-0.0408016,0.0331887,0.287398,2,399.17224502563477,1000.0,0.0840909481049,102.467,0.0,1133.57795072,454,454000
